	35	45	313	23	467	46	751-60-9547	ssnOfEmployee
0	74	77	781	24	827	43	FAST	OTHER
1	79	81	835	24	866	43	Une	OTHER
2	90	99	68	76	204	100	63-7847782	einEmployerIdentificationNumber
3	151	159	726	76	851	99	161516.46	box1WagesTipsAndOtherCompensations
4	173	180	986	74	1098	99	22767.08	box2FederalIncomeTaxWithheld
5	188	192	66	131	139	154	Pace,	employerName
6	194	200	148	130	248	155	Allison	employerName
7	202	204	261	130	306	155	and	employerName
8	206	212	316	130	418	155	Wallace	employerName
9	214	216	431	130	474	155	Inc	employerName
10	249	257	725	128	849	153	202813.67	box3SocialSecurityWages
11	272	279	987	129	1098	152	15515.25	box4SocialSecurityTaxWithheld
12	287	289	67	161	112	188	762	employerAddressStreet_name
13	291	296	121	162	209	189	Sheila	employerAddressStreet_name
14	298	301	219	164	277	189	Glen	employerAddressStreet_name
15	309	317	63	196	194	223	Mistystad	employerAddressCity
16	319	320	207	196	235	223	IL	employerAddressState
17	322	331	264	195	402	223	71232-7450	employerAddressZip
18	371	379	725	180	852	203	152626.32	OTHER
19	399	405	1052	180	1148	202	4426.16	OTHER
20	475	483	726	230	850	254	202813.67	OTHER
21	503	511	1051	229	1174	255	152626.32	OTHER
22	519	525	67	281	164	305	7802476	OTHER
23	609	611	1051	284	1088	304	110	OTHER
24	620	623	64	357	133	385	Kurt	employeeName
25	625	629	161	356	243	385	Clark	employeeName
26	682	684	726	342	767	363	163	OTHER
27	710	713	1051	340	1104	365	7569	OTHER
28	721	725	66	402	150	430	61927	OTHER
29	727	732	159	402	260	431	Willis	OTHER
30	734	738	273	403	353	431	Coves	OTHER
31	811	813	1051	402	1088	426	485	OTHER
32	821	824	65	442	132	470	Lake	OTHER
33	826	836	144	442	323	470	Nicolemouth	OTHER
34	838	839	339	442	372	471	SD	OTHER
35	841	850	419	440	576	470	93927-0771	OTHER
36	948	950	1052	465	1089	487	494	OTHER
37	1044	1044	1008	525	1024	548	Y	OTHER
38	1046	1048	1050	525	1092	549	550	OTHER
