	0	0.1	2094	1026	2158	1058	366	OTHER
0	42	42	505	198	525	228	a	OTHER
1	44	53	537	196	673	231	Employee's	OTHER
2	55	60	677	196	747	231	social	OTHER
3	62	69	751	196	846	231	security	OTHER
4	71	76	850	196	932	231	number	OTHER
5	134	138	1586	193	1653	228	Safe,	OTHER
6	140	148	1659	196	1796	233	Accurate.	OTHER
7	167	171	2091	196	2147	229	Visit	OTHER
8	173	175	2153	196	2196	230	the	OTHER
9	177	179	2202	195	2254	230	IRS	OTHER
10	181	187	2260	193	2366	231	Website	OTHER
11	342	344	1833	219	1946	263	Rev	OTHER
12	346	349	1956	220	2046	263	file	OTHER
13	409	419	698	237	975	274	183-72-0537	ssnOfEmployee
14	460	462	1273	241	1325	272	OMB	OTHER
15	464	466	1330	242	1371	274	No.	OTHER
16	468	476	1376	239	1490	274	1545-0008	OTHER
17	484	488	1581	241	1677	275	FAST!	OTHER
18	490	491	1682	242	1722	278	Us	OTHER
19	518	519	2092	242	2117	275	at	OTHER
20	521	537	2123	242	2339	279	www.irs.gov/efile	OTHER
21	540	540	114	288	140	323	b	OTHER
22	542	549	146	288	249	323	Employer	OTHER
23	551	564	253	289	387	321	identification	OTHER
24	566	571	393	290	476	319	number	OTHER
25	573	577	481	290	544	317	(EIN)	OTHER
26	660	665	1447	290	1532	323	Wages,	OTHER
27	667	671	1537	293	1582	323	tips,	OTHER
28	673	677	1587	293	1643	323	other	OTHER
29	679	690	1648	287	1807	323	compensation	OTHER
30	696	696	1942	282	1971	322	2	OTHER
31	698	704	2002	288	2083	323	Federal	OTHER
32	706	711	2090	290	2169	323	income	OTHER
33	713	715	2175	290	2209	321	tax	OTHER
34	717	724	2214	287	2301	320	withheld	OTHER
35	736	745	220	330	477	367	75-2833286	einEmployerIdentificationNumber
36	850	854	1476	328	1602	366	66753	box1WagesTipsAndOtherCompensations
37	856	856	1609	328	1629	366	.	box1WagesTipsAndOtherCompensations
38	858	859	1635	328	1677	366	72	box1WagesTipsAndOtherCompensations
39	884	887	1977	328	2077	366	6849	box2FederalIncomeTaxWithheld
40	889	889	2084	327	2100	367	.	box2FederalIncomeTaxWithheld
41	891	892	2107	327	2155	368	54	box2FederalIncomeTaxWithheld
42	896	896	120	379	141	414	c	OTHER
43	898	907	147	380	264	415	Employer's	OTHER
44	909	913	271	382	340	415	name,	OTHER
45	915	922	346	382	440	415	address,	OTHER
46	924	926	447	382	486	414	and	OTHER
47	928	930	492	381	529	414	ZIP	OTHER
48	932	935	536	380	593	414	code	OTHER
49	1017	1022	1450	383	1516	413	Social	OTHER
50	1024	1031	1521	381	1602	413	security	OTHER
51	1033	1037	1608	380	1677	412	wages	OTHER
52	1070	1075	2005	383	2071	412	Social	OTHER
53	1077	1084	2076	383	2156	412	security	OTHER
54	1086	1088	2162	382	2196	410	tax	OTHER
55	1090	1097	2201	379	2287	410	withheld	OTHER
56	1110	1123	222	425	582	467	Brown-Robinson	employerName
57	1125	1127	610	424	689	466	PLC	employerName
58	1225	1229	1476	427	1603	464	57801	box3SocialSecurityWages
59	1231	1231	1609	429	1628	467	.	box3SocialSecurityWages
60	1233	1233	1634	432	1645	469	1	box3SocialSecurityWages
61	1273	1276	1976	426	2078	462	4421	box4SocialSecurityTaxWithheld
62	1278	1278	2085	429	2104	463	.	box4SocialSecurityTaxWithheld
63	1280	1281	2110	430	2156	466	78	box4SocialSecurityTaxWithheld
64	1293	1297	220	486	346	523	40880	employerAddressStreet_name
65	1299	1303	378	485	501	524	Julie	employerAddressStreet_name
66	1305	1309	528	483	651	525	Court	employerAddressStreet_name
67	1406	1413	1447	472	1546	503	Medicare	OTHER
68	1415	1419	1552	473	1625	503	wages	OTHER
69	1421	1423	1631	473	1671	502	and	OTHER
70	1425	1428	1677	471	1721	501	tips	OTHER
71	1456	1456	1944	472	1967	504	6	OTHER
72	1458	1465	2002	473	2103	502	Medicare	OTHER
73	1467	1469	2108	474	2142	502	tax	OTHER
74	1471	1478	2147	474	2240	504	withheld	OTHER
75	1606	1610	1478	512	1602	550	72290	OTHER
76	1612	1612	1609	512	1628	548	.	OTHER
77	1614	1615	1634	513	1674	550	42	OTHER
78	1665	1669	2098	515	2224	550	2096.	OTHER
79	1671	1672	2230	515	2275	550	42	OTHER
80	1684	1696	217	547	557	585	Brightchester	employerAddressCity
81	1698	1699	606	540	657	581	PA	employerAddressState
82	1737	1746	764	544	1011	582	51668-9634	employerAddressZip
83	1798	1803	1449	558	1515	594	Social	OTHER
84	1805	1812	1521	558	1601	595	security	OTHER
85	1814	1817	1607	559	1652	597	tips	OTHER
86	1847	1847	1944	556	1966	587	8	OTHER
87	1848	1856	2002	557	2102	591	Allocated	OTHER
88	1858	1861	2108	557	2152	590	tips	OTHER
89	1990	1994	1476	604	1604	643	57801	OTHER
90	1996	1997	1610	606	1650	646	.1	OTHER
91	2048	2052	2100	607	2224	642	72290	OTHER
92	2054	2054	2232	606	2251	642	.	OTHER
93	2056	2057	2255	606	2303	643	42	OTHER
94	2060	2060	121	649	141	679	d	OTHER
95	2062	2068	148	648	226	680	Control	OTHER
96	2070	2075	231	647	310	680	number	OTHER
97	2231	2232	1934	649	1958	670	10	OTHER
98	2234	2242	2002	648	2123	679	Dependent	OTHER
