	13	22	309	83	451	129	50-0626121	einEmployerIdentificationNumber
0	36	46	560	70	715	120	846-62-1414	ssnOfEmployee
1	61	71	299	136	459	187	Buyah-Moody	employerName
2	73	75	466	164	515	195	Ine	employerName
3	90	94	295	168	372	207	51367	employerAddressStreet_name
4	96	103	374	182	494	227	Morrison	employerAddressStreet_name
5	105	114	502	204	649	252	Extensions	employerAddressStreet_name
6	116	120	654	227	731	265	Suite	employerAddressStreet_name
7	122	124	739	239	783	273	329	employerAddressStreet_name
8	158	159	1147	153	1190	187	Ce	OTHER
9	161	161	1199	163	1215	192	.	OTHER
10	163	166	1217	166	1269	199	file	OTHER
11	231	237	959	186	1064	228	80716.7	box1WagesTipsAndOtherCompensations
12	252	256	291	204	363	240	South	employerAddressCity
13	258	266	372	217	504	263	Erikaport	employerAddressCity
14	268	269	523	241	560	272	NV	employerAddressState
15	271	280	568	247	711	295	47552-0275	employerAddressZip
16	344	351	952	238	1065	282	57142.16	box3SocialSecurityWages
17	368	374	1217	226	1318	266	$372.33	box2FederalIncomeTaxWithheld
18	388	393	277	287	363	322	819682	OTHER
19	439	446	942	288	1057	333	89592.20	OTHER
20	462	468	1212	282	1310	318	4369.08	box4SocialSecurityTaxWithheld
21	532	539	935	339	1051	383	57142.16	OTHER
22	559	565	1264	341	1364	381	2590.10	OTHER
23	579	584	262	361	366	405	Donald	employeeName
24	586	592	374	380	487	424	Andrews	employeeName
25	606	610	257	406	345	448	26904	OTHER
26	612	614	348	421	405	459	Max	OTHER
27	616	622	414	432	530	480	Landing	OTHER
28	683	690	1256	390	1372	434	89592.20	OTHER
29	703	711	248	444	398	497	Davidview	OTHER
30	713	714	422	474	464	506	NV	OTHER
31	750	752	918	449	963	481	104	OTHER
32	780	782	1249	441	1289	470	205	OTHER
33	812	821	522	486	684	541	70287-4302	OTHER
34	911	914	1241	501	1289	531	4141	OTHER
35	1001	1003	1230	562	1275	595	700	OTHER
36	1018	1027	292	612	432	657	139-89-185	OTHER
37	1091	1093	1221	622	1264	654	471	OTHER
38	1128	1135	505	643	619	687	40186.93	OTHER
39	1150	1159	285	662	428	707	109-82-815	OTHER
40	1182	1188	694	671	798	717	2274.24	OTHER
41	1223	1225	1212	671	1259	714	653	OTHER
42	1240	1243	285	696	355	731	Wage	OTHER
43	1245	1247	356	708	406	740	and	OTHER
44	1249	1251	409	718	453	747	Tax	OTHER
45	1259	1266	497	693	609	737	41060.25	OTHER
46	1280	1287	879	703	994	746	90534.56	OTHER
47	1290	1293	146	715	180	735	from	OTHER
48	1295	1296	192	720	221	741	wa	OTHER
49	1333	1339	685	720	793	767	2069.20	OTHER
50	1364	1371	1078	736	1193	777	14054.10	OTHER
51	1417	1420	686	765	845	840	2019	taxYear
52	1422	1429	869	753	986	797	59478-02	OTHER
53	1505	1512	1070	784	1185	829	13171.42	OTHER
54	1520	1529	172	944	313	992	50-0626121	OTHER
55	1541	1551	422	931	578	984	846-62-1414	OTHER
56	1557	1567	164	999	324	1047	Buyah-Moody	OTHER
57	1569	1571	332	1024	376	1054	Ine	OTHER
58	1575	1579	160	1028	236	1068	51367	OTHER
59	1581	1588	238	1042	357	1087	Morrison	OTHER
60	1590	1599	366	1064	514	1112	Extensions	OTHER
61	1601	1605	518	1087	595	1125	Suite	OTHER
62	1607	1609	603	1099	647	1133	329	OTHER
63	1613	1617	154	1064	226	1100	South	OTHER
