	36	36.1	503	198	524	228	a	OTHER
0	38	47	537	196	672	231	Employee's	OTHER
1	49	54	676	196	746	231	social	OTHER
2	56	63	750	196	844	231	security	OTHER
3	65	70	849	196	935	230	number	OTHER
4	134	138	1586	193	1653	228	Safe,	OTHER
5	140	148	1659	196	1796	233	Accurate.	OTHER
6	184	188	2091	194	2147	228	Visit	OTHER
7	190	192	2153	195	2197	229	the	OTHER
8	194	196	2203	195	2254	230	IRS	OTHER
9	198	204	2259	193	2367	232	Website	OTHER
10	367	369	1833	218	1947	263	Rev	OTHER
11	371	374	1954	220	2045	263	file	OTHER
12	428	438	696	235	973	275	035-36-3992	ssnOfEmployee
13	482	484	1273	241	1325	272	OMB	OTHER
14	486	488	1330	242	1371	273	No.	OTHER
15	490	498	1376	241	1491	274	1545-0008	OTHER
16	509	513	1581	241	1677	275	FAST!	OTHER
17	515	516	1683	242	1722	278	Us	OTHER
18	559	560	2094	239	2115	275	at	OTHER
19	562	578	2122	240	2340	279	www.irs.gov/efile	OTHER
20	581	581	114	288	140	322	b	OTHER
21	583	590	148	288	249	322	Employer	OTHER
22	592	605	253	289	389	322	identification	OTHER
23	607	612	394	289	475	320	number	OTHER
24	614	618	482	289	536	317	(EIN)	OTHER
25	700	705	1446	292	1531	322	Wages,	OTHER
26	707	711	1536	294	1583	322	tips,	OTHER
27	713	717	1588	293	1645	322	other	OTHER
28	719	730	1650	286	1807	322	compensation	OTHER
29	751	751	1944	284	1971	321	2	OTHER
30	753	759	2002	291	2084	322	Federal	OTHER
31	761	766	2089	291	2170	322	income	OTHER
32	768	770	2175	290	2210	321	tax	OTHER
33	772	779	2215	288	2302	320	withheld	OTHER
34	791	800	220	330	469	367	63-3480270	einEmployerIdentificationNumber
35	905	909	1478	328	1601	364	62239	box1WagesTipsAndOtherCompensations
36	911	911	1610	328	1627	364	.	box1WagesTipsAndOtherCompensations
37	913	914	1633	327	1674	364	89	box1WagesTipsAndOtherCompensations
38	953	957	1976	329	2102	367	10671	box2FederalIncomeTaxWithheld
39	959	959	2108	329	2130	368	.	box2FederalIncomeTaxWithheld
40	961	962	2136	329	2184	369	76	box2FederalIncomeTaxWithheld
41	966	966	119	378	142	413	c	OTHER
42	968	977	149	379	263	414	Employer's	OTHER
43	979	983	270	381	339	414	name,	OTHER
44	985	992	345	381	440	414	address,	OTHER
45	994	996	446	381	486	414	and	OTHER
46	998	1000	492	381	530	414	ZIP	OTHER
47	1002	1005	535	380	596	413	code	OTHER
48	1085	1090	1450	382	1516	412	Social	OTHER
49	1092	1099	1521	382	1602	413	security	OTHER
50	1101	1105	1607	381	1677	413	wages	OTHER
51	1139	1144	2005	385	2072	412	Social	OTHER
52	1146	1153	2076	384	2159	412	security	OTHER
53	1155	1157	2163	383	2198	411	tax	OTHER
54	1159	1166	2203	378	2290	410	withheld	OTHER
55	1179	1184	222	427	372	467	French	employerName
56	1186	1188	399	427	479	465	Ltd	employerName
57	1190	1192	504	426	585	466	and	employerName
58	1194	1197	609	425	708	469	Sons	employerName
