	26	36	314	23	467	46	(07-42-9804	ssnOfEmployee
0	62	62	926	13	944	41	0	OTHER
1	64	64	955	13	971	41	.	OTHER
2	66	69	976	12	1026	41	file	OTHER
3	70	71	1047	25	1061	45	of	OTHER
4	73	78	1064	25	1120	45	wwwits	OTHER
5	80	87	1123	25	1183	45	piwallie	OTHER
6	94	103	66	76	207	98	94-4130330	einEmployerIdentificationNumber
7	139	147	724	75	848	99	180558.05	box1WagesTipsAndOtherCompensations
8	156	163	988	73	1097	99	42029.25	box2FederalIncomeTaxWithheld
9	170	182	66	128	251	154	Novel1-Medina	employerName
10	184	186	260	128	305	153	Ltd	employerName
11	215	223	725	129	849	152	139843.75	box3SocialSecurityWages
12	235	242	987	129	1097	151	10698.05	box4SocialSecurityTaxWithheld
13	249	251	67	160	112	189	490	employerAddressStreet_name
14	253	258	121	161	211	190	Parker	employerAddressStreet_name
15	260	265	218	163	309	190	Bypass	employerAddressStreet_name
16	267	271	316	162	393	189	Suite	employerAddressStreet_name
17	273	275	402	161	443	188	313	employerAddressStreet_name
18	327	335	726	180	849	204	171877.83	OTHER
19	352	358	1051	179	1148	202	4904.46	OTHER
20	365	374	64	196	208	224	knappburgh	employerAddressCity
21	376	376	256	196	274	223	0	employerAddressState
22	378	387	304	195	446	224	35300-1931	employerAddressZip
23	439	447	725	230	850	254	139843.75	OTHER
24	464	472	1049	229	1173	254	171877.83	OTHER
25	479	485	66	280	165	304	1552023	OTHER
26	549	551	1050	281	1093	302	156	OTHER
27	559	561	64	357	112	384	Kim	employeeName
28	563	567	142	358	228	385	Moore	employeeName
29	604	606	724	343	767	365	249	OTHER
30	629	632	1052	339	1103	364	7490	OTHER
31	639	643	65	402	151	431	98194	OTHER
32	645	648	158	402	228	431	King	OTHER
33	650	655	240	402	342	431	Course	OTHER
34	657	661	354	402	437	431	Suite	OTHER
35	663	665	451	402	497	431	120	OTHER
36	705	706	999	406	1031	427	#1	OTHER
37	708	710	1050	405	1088	428	510	OTHER
38	717	721	63	441	146	470	North	OTHER
39	723	732	162	440	327	470	Taylorland	OTHER
40	734	734	393	440	412	470	:	OTHER
41	736	745	421	440	580	470	70203-8933	OTHER
42	819	819	1007	518	1026	547	Y	OTHER
43	832	841	131	597	275	622	937-63-147	OTHER
44	850	857	348	596	462	623	97631.03	OTHER
45	862	868	539	598	635	623	5015.72	OTHER
46	870	878	724	597	851	624	228423.30	OTHER
47	886	893	928	596	1037	623	29304.04	OTHER
48	905	914	131	647	270	673	554-60-329	OTHER
49	923	930	346	648	456	674	95107.65	OTHER
50	935	941	541	647	635	674	4241.71	OTHER
51	943	951	724	647	849	673	102594.68	OTHER
52	959	966	928	646	1037	673	25940.03	OTHER
53	979	982	139	683	205	708	Wage	OTHER
54	984	986	210	683	258	708	and	OTHER
55	988	990	264	684	305	708	Tax	OTHER
56	1008	1011	550	685	698	740	2019	taxYear
57	1013	1016	4	721	35	739	from	OTHER
58	1018	1019	49	720	75	739	wa	OTHER
59	1051	1061	311	896	467	923	(87-42-9084	OTHER
60	1067	1076	66	947	205	973	94-4130330	OTHER
61	1113	1121	725	947	850	973	180558.05	OTHER
62	1132	1139	987	946	1099	972	42029-25	OTHER
63	1146	1158	66	999	250	1025	Novel1-Medina	OTHER
64	1160	1162	261	999	305	1024	Ltd	OTHER
65	1191	1199	725	997	849	1023	139043.75	OTHER
66	1210	1217	985	997	1097	1022	10698.05	OTHER
67	1224	1226	68	1032	111	1059	490	OTHER
68	1228	1233	119	1033	208	1060	Parker	OTHER
69	1235	1240	219	1034	307	1060	Bypass	OTHER
70	1242	1246	316	1033	391	1060	Suite	OTHER
71	1248	1250	401	1032	442	1059	313	OTHER
72	1292	1298	1051	1048	1147	1073	4904.46	OTHER
73	1350	1358	724	1049	848	1075	171877.83	OTHER
74	1365	1374	65	1066	210	1094	Kaappburgh	OTHER
75	1376	1377	245	1066	276	1093	10	OTHER
76	1379	1388	305	1066	445	1093	35300-1931	OTHER
77	1440	1448	726	1101	848	1125	139043.75	OTHER
78	1465	1473	1050	1099	1174	1126	171877.03	OTHER
79	1480	1486	65	1152	164	1177	1552023	OTHER
80	1550	1552	1051	1152	1091	1173	156	OTHER
81	1560	1562	64	1224	111	1251	Kim	OTHER
82	1564	1568	143	1225	227	1252	Moore	OTHER
83	1605	1607	725	1210	767	1231	249	OTHER
84	1630	1632	1050	1207	1096	1233	749	OTHER
85	1639	1643	66	1263	151	1292	98194	OTHER
86	1645	1648	159	1263	229	1292	King	OTHER
87	1650	1655	240	1263	341	1292	Course	OTHER
88	1657	1661	354	1263	438	1292	Suite	OTHER
89	1663	1665	451	1263	498	1292	120	OTHER
90	1684	1685	708	1248	805	1299	TO	OTHER
91	1705	1707	1004	1263	1031	1287	1:#	OTHER
92	1709	1711	1050	1262	1090	1287	518	OTHER
93	1718	1722	63	1302	147	1331	North	OTHER
94	1724	1733	161	1301	327	1331	Taylorland	OTHER
95	1735	1735	393	1301	412	1330	:	OTHER
96	1737	1746	421	1301	580	1330	70203-8933	OTHER
97	1820	1820	1006	1374	1027	1405	Y	OTHER
98	1833	1842	132	1454	270	1479	937-63-147	OTHER
99	1851	1858	347	1454	459	1479	97631.03	box16StateWagesTips
100	1863	1869	539	1454	635	1479	5015.72	box17StateIncomeTax
101	1873	1881	725	1453	853	1480	220423.30	OTHER
102	1887	1894	928	1454	1038	1478	29304.04	OTHER
103	1906	1915	131	1504	271	1532	554-60-329	OTHER
104	1924	1931	347	1504	457	1531	95107-65	OTHER
105	1936	1942	541	1504	636	1532	4241.71	OTHER
106	1944	1952	725	1503	848	1531	182594.68	OTHER
107	1960	1967	927	1504	1038	1532	25940.03	OTHER
108	1980	1983	139	1539	206	1564	Wage	OTHER
109	1985	1987	211	1539	256	1564	and	OTHER
110	1989	1991	264	1539	303	1563	Tax	OTHER
111	2009	2012	550	1543	699	1595	2019	OTHER
112	2014	2017	4	1575	35	1592	from	OTHER
113	2019	2020	48	1574	75	1593	wa	OTHER
114	2025	2033	142	1570	258	1592	Statement	OTHER
115	2089	2089	1072	1579	1089	1606	e	OTHER
116	2091	2091	1100	1580	1114	1607	.	OTHER
117	2093	2096	1118	1579	1167	1607	file	OTHER
