	44	54	397	40	550	71	532-46-5259	ssnOfEmployee
0	70	79	148	79	289	109	68-3376487	einEmployerIdentificationNumber
1	140	143	864	64	914	87	FAST	OTHER
2	145	147	918	68	955	90	Use	OTHER
3	149	149	1012	61	1029	89	e	OTHER
4	151	155	1042	62	1110	93	.file	OTHER
5	237	244	808	111	916	142	57569-68	box1WagesTipsAndOtherCompensations
6	254	260	1067	126	1163	156	18118.1	box2FederalIncomeTaxWithheld
7	276	284	144	133	274	163	Gay-Potts	employerName
8	286	288	285	140	329	165	LLC	employerName
9	304	308	145	165	217	195	48464	employerAddressStreet_name
10	310	316	224	170	328	203	Bentley	employerAddressStreet_name
11	318	321	337	176	397	206	Path	employerAddressStreet_name
12	323	326	407	179	470	209	Apt.	employerAddressStreet_name
13	328	330	480	182	521	210	216	employerAddressStreet_name
14	370	377	805	165	916	196	74656.48	box3SocialSecurityWages
15	387	393	1063	174	1159	209	5711.22	box4SocialSecurityTaxWithheld
16	409	412	140	199	201	227	Lake	employerAddressCity
17	414	417	210	204	270	232	Carl	employerAddressCity
18	423	424	336	209	369	235	VT	employerAddressState
19	426	435	435	214	575	248	89867-9769	employerAddressZip
20	474	481	801	217	915	247	52617.88	OTHER
21	584	590	1125	234	1221	262	1525.92	OTHER
22	671	678	799	267	910	298	74656.48	OTHER
23	693	699	138	284	235	313	6232200	OTHER
24	781	788	1123	282	1237	314	52617.88	OTHER
25	898	900	1120	336	1160	360	228	OTHER
26	914	917	130	362	198	392	Mary	employeeName
27	923	930	278	368	404	400	Sandoval	employeeName
28	976	978	793	379	835	404	276	OTHER
29	1009	1012	1119	394	1170	420	4585	OTHER
30	1026	1028	132	405	181	435	798	OTHER
31	1030	1033	194	408	261	441	Gary	OTHER
32	1035	1044	275	413	436	452	Throughway	OTHER
33	1058	1061	128	445	195	475	Lake	OTHER
34	1063	1067	210	450	291	481	Shawn	OTHER
35	1119	1119	761	429	788	467	X	OTHER
36	1147	1148	368	456	402	485	GA	OTHER
37	1150	1159	416	459	576	494	15258-6177	OTHER
38	1225	1227	1114	453	1153	485	234	OTHER
39	1336	1338	1111	518	1150	544	242	OTHER
40	1441	1442	1057	578	1087	601	GG	OTHER
41	1444	1446	1107	578	1149	604	908	OTHER
42	1468	1477	186	605	326	635	006-20-009	OTHER
43	1493	1500	401	615	515	646	26433.86	OTHER
44	1513	1519	594	623	691	656	2122.37	OTHER
45	1522	1529	781	635	890	666	66023.84	OTHER
46	1550	1559	187	656	322	685	411-98-481	OTHER
47	1576	1583	400	666	511	696	30654.45	OTHER
48	1624	1630	985	649	1081	673	8158.93	OTHER
49	1652	1655	190	690	257	718	Wage	OTHER
50	1657	1659	261	694	308	720	and	OTHER
51	1661	1663	314	696	354	722	Tax	OTHER
52	1696	1700	591	674	659	705	2529-	OTHER
53	1702	1703	662	676	689	706	67	OTHER
54	1705	1712	776	685	891	716	58621.96	OTHER
55	1724	1730	979	696	1077	726	7868.84	OTHER
56	1752	1760	190	721	304	750	Statement	OTHER
57	1796	1799	597	717	751	774	2019	taxYear
58	1805	1808	54	744	96	765	Copy	OTHER
59	1810	1813	98	746	144	767	B-To	OTHER
60	1815	1816	146	749	171	769	Be	OTHER
61	1818	1823	173	750	212	772	Filled	OTHER
62	1825	1828	213	752	248	774	with	OTHER
63	1830	1839	252	754	344	779	Employer's	OTHER
64	1841	1847	346	759	426	783	FEDERAL	OTHER
65	1849	1851	430	764	459	785	Tax	OTHER
66	1853	1859	461	765	519	788	Returns	OTHER
67	1904	1914	351	912	506	944	532-46-5259	OTHER
68	1925	1934	103	950	246	981	68-3376487	OTHER
