	33	33.1	216	2	227	19	a	OTHER
0	35	44	235	2	308	19	Employee's	OTHER
1	46	51	311	2	349	19	social	OTHER
2	53	60	352	3	402	19	security	OTHER
3	62	67	404	3	455	19	number	OTHER
4	117	121	782	2	819	19	Safe,	OTHER
5	123	131	822	3	894	19	Accurate,	OTHER
6	160	164	1047	3	1079	20	Visit	OTHER
7	166	168	1082	3	1103	20	the	OTHER
8	170	172	1106	3	1133	20	IRS	OTHER
9	174	180	1136	3	1194	20	Website	OTHER
10	229	239	312	25	463	45	072-86-5348	ssnOfEmployee
11	270	272	611	27	642	42	OMB	OTHER
12	274	276	644	26	668	42	No.	OTHER
13	278	286	671	26	731	41	1545-0008	OTHER
14	288	292	780	25	830	43	FAST!	OTHER
15	294	296	834	26	866	44	Use	OTHER
16	298	299	908	15	942	38	Re	OTHER
17	301	301	954	14	971	39	~	OTHER
18	303	306	976	14	1022	39	file	OTHER
19	308	309	1048	29	1061	44	at	OTHER
20	311	327	1064	27	1181	44	www.irs.gov/efile	OTHER
21	329	329	11	53	23	70	b	OTHER
22	331	338	28	53	83	70	Employer	OTHER
23	340	353	87	54	159	70	identification	OTHER
24	355	360	162	54	206	70	number	OTHER
25	362	366	209	54	242	70	(EIN)	OTHER
26	429	434	703	54	749	70	Wages,	OTHER
27	436	440	752	55	779	70	tips,	OTHER
28	442	446	781	55	813	70	other	OTHER
29	448	459	815	55	899	69	compensation	OTHER
30	475	475	971	54	981	69	2	OTHER
31	477	483	993	54	1037	69	Federal	OTHER
32	485	490	1040	55	1084	69	income	OTHER
33	492	494	1086	55	1106	69	tax	OTHER
34	496	503	1108	55	1157	69	withheld	OTHER
35	514	523	66	79	205	98	06-4156216	einEmployerIdentificationNumber
36	613	620	726	77	836	97	69586.36	box1WagesTipsAndOtherCompensations
37	654	657	986	79	1040	97	8262	box2FederalIncomeTaxWithheld
38	659	659	1045	78	1054	97	.	box2FederalIncomeTaxWithheld
39	661	662	1057	78	1081	97	48	box2FederalIncomeTaxWithheld
40	664	664	12	106	24	123	c	OTHER
41	666	675	28	106	92	123	Employer's	OTHER
42	677	681	95	107	133	122	name,	OTHER
43	683	690	136	107	187	122	address,	OTHER
44	692	694	190	106	212	122	and	OTHER
45	696	698	215	106	235	123	ZIP	OTHER
46	700	703	238	106	267	123	code	OTHER
47	763	763	680	104	692	121	3	OTHER
48	765	770	704	105	741	122	Social	OTHER
49	772	774	744	107	761	121	sec	OTHER
50	814	819	994	107	1032	121	Social	OTHER
51	821	828	1034	107	1081	121	security	OTHER
52	830	832	1084	107	1104	121	tax	OTHER
53	834	841	1106	106	1154	121	withheld	OTHER
54	852	858	65	133	163	152	Herrera	employerName
55	860	862	177	132	218	152	PLC	employerName
56	864	866	234	130	274	151	PLC	employerName
57	951	958	726	130	836	151	48797.27	box3SocialSecurityWages
58	992	995	987	130	1041	151	3732	box4SocialSecurityTaxWithheld
59	997	997	1045	130	1053	151	.	box4SocialSecurityTaxWithheld
60	999	1000	1057	130	1082	151	99	box4SocialSecurityTaxWithheld
61	1011	1014	65	164	122	186	8965	employerAddressStreet_name
62	1016	1020	134	164	205	186	Price	employerAddressStreet_name
63	1022	1025	218	164	275	186	Cape	employerAddressStreet_name
64	1027	1031	290	163	359	186	Suite	employerAddressStreet_name
65	1033	1035	374	163	413	186	811	employerAddressStreet_name
66	1101	1101	680	155	691	172	5	OTHER
67	1103	1110	703	156	758	173	Medicare	OTHER
68	1112	1116	760	158	799	173	wages	OTHER
69	1118	1120	802	159	824	173	and	OTHER
70	1122	1125	827	158	847	173	tips	OTHER
71	1148	1148	971	157	981	172	6	OTHER
72	1150	1157	993	157	1048	172	Medicare	OTHER
73	1159	1161	1051	157	1069	172	tax	OTHER
74	1163	1170	1072	157	1120	172	withheld	OTHER
