	36	46	313	24	464	47	486-39-2454	ssnOfEmployee
0	81	84	780	25	828	44	FAST	OTHER
1	86	88	835	26	866	44	Use	OTHER
2	93	94	911	15	943	39	"""e"	OTHER
3	96	99	976	14	1023	39	file	OTHER
4	108	117	66	77	208	100	93-9578737	einEmployerIdentificationNumber
5	176	184	725	77	850	98	140684.34	box1WagesTipsAndOtherCompensations
6	201	208	987	77	1095	98	42832.01	box2FederalIncomeTaxWithheld
7	217	229	65	130	251	156	Spencer-Davis	employerName
8	231	233	261	129	305	152	LLC	employerName
9	286	294	726	130	849	152	142919.65	box3SocialSecurityWages
10	311	318	986	130	1099	152	10933.35	box4SocialSecurityTaxWithheld
11	327	329	67	162	110	188	705	employerAddressStreet_name
12	331	334	121	162	180	188	Pope	employerAddressStreet_name
13	336	339	191	162	248	188	Camp	employerAddressStreet_name
14	341	345	261	162	334	188	Suite	employerAddressStreet_name
15	347	349	345	161	387	188	547	employerAddressStreet_name
16	358	370	64	197	251	222	Rachelborough	employerAddressCity
17	372	373	259	197	293	222	NE	employerAddressState
18	375	384	304	196	444	221	08722-1358	employerAddressZip
19	426	433	726	180	835	202	99698.63	OTHER
20	457	463	1051	181	1149	202	2891.26	OTHER
21	541	549	726	232	849	253	142919.65	OTHER
22	571	578	1051	231	1160	253	99698.63	OTHER
23	587	593	67	282	164	305	5539009	OTHER
24	687	689	1052	283	1091	303	135	OTHER
25	698	705	64	357	193	384	Benjamin	employeeName
26	707	712	207	358	307	384	Horton	employeeName
27	767	769	725	342	767	363	253	OTHER
28	795	795	1008	343	1022	362	A	OTHER
29	797	800	1052	342	1106	364	7820	OTHER
30	808	811	66	403	131	429	2478	OTHER
31	813	817	144	403	226	429	Allen	OTHER
32	819	826	239	403	371	430	Mountain	OTHER
33	909	911	1050	404	1089	426	421	OTHER
34	919	921	63	443	112	468	New	OTHER
35	923	932	128	441	288	468	Debramouth	OTHER
36	934	935	304	441	338	468	NV	OTHER
37	937	946	387	442	544	468	16413-9064	OTHER
38	1051	1051	1005	469	1017	485	M	OTHER
39	1053	1055	1050	466	1091	487	590	OTHER
40	1159	1159	1007	525	1023	548	T	OTHER
41	1161	1163	1051	522	1090	548	678	OTHER
42	1181	1190	133	599	271	622	555-23-381	OTHER
43	1206	1213	349	599	459	621	72373.26	box16StateWagesTips
44	1224	1230	541	598	637	622	3041.38	box17StateIncomeTax
45	1242	1249	726	600	835	622	155484.2	OTHER
46	1261	1268	929	599	1039	621	24476.08	OTHER
47	1275	1277	1118	601	1159	623	Lee	OTHER
48	1279	1282	1172	602	1229	624	Mays	OTHER
49	1299	1308	132	651	271	673	007-88-142	OTHER
50	1324	1331	349	650	460	673	74497.98	OTHER
51	1342	1348	540	651	635	673	3042.01	OTHER
52	1350	1358	725	650	850	674	180247.74	OTHER
53	1368	1375	929	651	1038	673	27950.51	OTHER
54	1393	1396	1113	652	1163	674	Ball	OTHER
55	1398	1402	1172	653	1232	674	Rapid	OTHER
56	1420	1423	139	682	206	709	Wage	OTHER
57	1425	1427	211	682	257	709	and	OTHER
58	1429	1431	264	683	303	708	Tax	OTHER
59	1463	1466	550	689	694	740	2018	taxYear
60	1480	1489	864	688	946	708	Department	OTHER
61	1491	1492	950	689	960	708	of	OTHER
62	1494	1496	964	689	990	708	the	OTHER
63	1498	1505	993	689	1057	708	tampaing	OTHER
64	1507	1513	1060	689	1113	707	itional	OTHER
65	1515	1521	1116	688	1178	707	Revenue	OTHER
66	1523	1528	1181	688	1235	707	Sannce	OTHER
67	1530	1532	4	722	32	740	For	OTHER
68	1534	1535	48	721	77	740	Wa	OTHER
69	1546	1554	141	714	254	739	Statement	OTHER
70	1556	1559	6	745	47	766	Copy	OTHER
71	1561	1564	51	745	96	766	B-To	OTHER
72	1566	1567	100	745	122	766	Be	OTHER
73	1569	1574	125	745	163	766	Filled	OTHER
74	1576	1579	166	745	201	766	with	OTHER
75	1581	1590	205	745	295	766	Enpinger's	OTHER
76	1592	1598	299	745	379	766	FEDERAL	OTHER
77	1600	1602	384	745	411	765	Tax	OTHER
78	1604	1610	414	744	469	765	Returns	OTHER
