	0	0.1	223	694	254	724	36	OTHER
0	0	0	1446	2282	1581	2313	Nonqualified	OTHER
1	0	0	828	2497	1115	2543	88084-6918	OTHER
2	39	39	505	198	526	228	a	OTHER
3	41	50	538	196	673	231	Employee's	OTHER
4	52	57	677	196	746	231	social	OTHER
5	59	66	751	196	845	231	security	OTHER
6	68	73	850	197	937	231	number	OTHER
7	132	136	1586	193	1653	228	Safe,	OTHER
8	138	146	1659	196	1796	233	Accurate.	OTHER
9	178	182	2091	194	2148	228	Visit	OTHER
10	184	186	2153	195	2197	229	the	OTHER
11	188	190	2203	195	2254	230	IRS	OTHER
12	192	198	2259	193	2366	231	Website	OTHER
13	358	360	1833	219	1945	263	Rev	OTHER
14	362	365	1956	220	2045	263	file	OTHER
15	422	432	698	237	980	276	761-46-2325	ssnOfEmployee
16	471	473	1273	241	1325	272	OMB	OTHER
17	475	477	1330	242	1372	274	No.	OTHER
18	479	487	1377	239	1491	274	1545-0008	OTHER
19	499	503	1589	241	1675	276	FAST!	OTHER
20	505	506	1681	242	1721	279	Us	OTHER
21	545	546	2092	241	2117	275	at	OTHER
22	548	564	2123	242	2339	279	www.irs.gov/efile	OTHER
23	567	567	114	288	140	321	b	OTHER
24	569	576	147	288	249	321	Employer	OTHER
25	578	591	253	289	388	321	identification	OTHER
26	593	598	393	289	475	319	number	OTHER
27	600	604	481	289	543	317	(EIN)	OTHER
28	685	690	1447	292	1532	323	Wages,	OTHER
29	692	696	1537	294	1584	323	tips,	OTHER
30	698	702	1589	293	1644	323	other	OTHER
31	704	715	1649	286	1807	322	compensation	OTHER
32	734	734	1942	283	1970	321	2	OTHER
33	736	742	2001	289	2084	323	Federal	OTHER
34	744	749	2090	290	2170	323	income	OTHER
35	751	753	2176	289	2208	321	tax	OTHER
36	755	762	2213	287	2301	320	withheld	OTHER
37	774	783	221	331	477	368	38-3995762	einEmployerIdentificationNumber
38	887	891	1478	329	1602	367	62522	box1WagesTipsAndOtherCompensations
39	893	893	1611	329	1626	367	.	box1WagesTipsAndOtherCompensations
40	895	896	1632	329	1675	368	68	box1WagesTipsAndOtherCompensations
41	933	936	1977	328	2077	365	9837	box2FederalIncomeTaxWithheld
42	938	938	2083	329	2100	366	.	box2FederalIncomeTaxWithheld
43	940	941	2106	329	2149	366	32	box2FederalIncomeTaxWithheld
44	945	945	118	379	140	412	c	OTHER
45	947	956	148	380	263	414	Employer's	OTHER
46	958	962	269	382	340	414	name,	OTHER
47	964	971	346	382	440	414	address,	OTHER
48	973	975	446	382	484	414	and	OTHER
49	977	979	490	381	529	414	ZIP	OTHER
50	981	984	535	380	595	414	code	OTHER
51	1063	1068	1450	383	1517	413	Social	OTHER
52	1070	1077	1521	382	1602	413	security	OTHER
53	1079	1083	1607	381	1676	413	wages	OTHER
54	1114	1119	2005	383	2071	411	Social	OTHER
55	1121	1128	2076	383	2158	411	security	OTHER
56	1130	1132	2163	382	2198	411	tax	OTHER
57	1134	1141	2203	380	2288	410	withheld	OTHER
58	1153	1157	217	426	355	465	Carr,	employerName
59	1159	1165	372	427	556	466	Padilla	employerName
60	1167	1169	581	428	662	466	and	employerName
61	1171	1177	690	428	869	469	Johnson	employerName
62	1179	1183	894	428	1023	471	Group	employerName
63	1266	1270	1475	426	1601	461	59442	box3SocialSecurityWages
64	1272	1272	1609	427	1627	463	.	box3SocialSecurityWages
65	1274	1275	1633	428	1680	465	95	box3SocialSecurityWages
66	1313	1319	1978	426	2144	465	4547.39	box4SocialSecurityTaxWithheld
67	1330	1332	217	482	298	521	841	employerAddressStreet_name
68	1334	1337	318	484	424	523	King	employerAddressStreet_name
69	1339	1342	451	486	550	525	Fort	employerAddressStreet_name
70	1442	1449	1454	469	1547	503	Medicare	OTHER
71	1451	1455	1553	473	1625	503	wages	OTHER
72	1457	1459	1631	474	1670	503	and	OTHER
73	1461	1464	1676	472	1718	501	tips	OTHER
74	1489	1489	1943	473	1966	504	6	OTHER
75	1491	1498	2003	473	2104	502	Medicare	OTHER
76	1500	1502	2109	473	2142	503	tax	OTHER
77	1504	1511	2147	473	2236	505	withheld	OTHER
78	1635	1640	1476	513	1628	550	60046.	OTHER
79	1642	1643	1634	513	1683	549	19	OTHER
80	1693	1696	2099	515	2199	552	1741	OTHER
81	1698	1700	2205	513	2275	549	.34	OTHER
82	1712	1721	218	546	478	584	Laurieside	employerAddressCity
83	1744	1745	553	543	609	584	OK	employerAddressState
84	1747	1756	659	540	919	584	81472-5097	employerAddressZip
85	1879	1884	1451	559	1514	595	Social	OTHER
86	1886	1893	1520	558	1602	595	security	OTHER
87	1895	1898	1608	558	1659	595	tips	OTHER
88	1926	1926	1944	556	1964	585	8	OTHER
89	1928	1936	2003	559	2101	592	Allocated	OTHER
90	1938	1941	2107	559	2148	591	tips	OTHER
91	2066	2070	1476	605	1601	640	59442	OTHER
92	2072	2072	1609	607	1628	641	.	OTHER
93	2074	2075	1632	607	1674	641	95	OTHER
94	2123	2128	2097	608	2251	641	60046.	OTHER
95	2130	2131	2256	609	2300	642	19	OTHER
96	2134	2134	121	649	141	679	d	OTHER
97	2136	2142	148	648	227	680	Control	OTHER
98	2144	2149	232	647	310	680	number	OTHER
99	2300	2301	1935	649	1958	669	10	OTHER
100	2303	2311	2002	650	2125	678	Dependent	OTHER
101	2313	2316	2129	649	2176	678	care	OTHER
102	2318	2325	2181	649	2263	678	benefits	OTHER
103	2509	2510	2100	697	2144	729	19	OTHER
104	2618	2622	1300	741	1361	769	Suff.	OTHER
105	2624	2625	1379	740	1413	768	11	OTHER
106	2628	2629	2317	1772	2346	1805	on	OTHER
107	2632	2632	1588	1773	1601	1805	a	OTHER
108	2634	2635	2394	1772	2418	1806	if	OTHER
109	2637	2637	118	748	134	771	e	OTHER
110	2638	2638	120	2191	140	2220	d	OTHER
111	2640	2644	1588	743	1651	772	plans	OTHER
112	2647	2647	118	2289	136	2314	e	OTHER
113	2649	2658	148	747	272	771	Employee's	OTHER
114	2660	2664	276	746	318	770	first	OTHER
115	2666	2669	321	745	386	770	name	OTHER
116	2671	2673	389	744	432	769	and	OTHER
117	2675	2681	436	742	497	769	initial	OTHER
118	2693	2696	625	744	675	768	Last	OTHER
119	2698	2701	678	742	742	768	name	OTHER
120	2813	2815	1935	745	1970	769	12a	OTHER
121	2817	2819	2008	745	2051	770	See	OTHER
122	2821	2832	2055	744	2195	770	instructions	OTHER
123	2834	2836	2199	743	2233	769	for	OTHER
124	2838	2840	2237	741	2285	769	box	OTHER
125	2842	2843	2288	739	2317	769	12	OTHER
126	2970	2972	1477	805	1542	835	280	OTHER
127	3029	3032	2097	797	2199	836	5780	OTHER
128	3044	3048	230	832	357	870	Jason	employeeName
129	3050	3053	422	827	534	869	Pugh	employeeName
130	3148	3149	1379	846	1409	875	13	OTHER
131	3151	3159	1413	847	1484	875	Statutory	OTHER
132	3201	3203	1936	840	1972	875	12b	OTHER
133	3334	3343	1581	849	1671	877	Retirement	OTHER
134	3356	3363	1767	853	1834	873	ird-part	OTHER
135	3481	3488	1413	878	1497	908	employee	OTHER
136	3494	3497	1580	883	1624	909	plan	OTHER
137	3515	3518	1749	881	1781	909	sick	OTHER
138	3520	3522	1785	879	1828	907	pay	OTHER
139	3534	3536	221	907	308	949	463	OTHER
140	3538	3543	334	910	509	951	Garcia	OTHER
141	3545	3549	543	907	680	952	Inlet	OTHER
142	3641	3641	1428	911	1459	956	X	OTHER
143	3697	3698	2000	915	2047	946	DD	OTHER
144	3704	3706	2098	913	2170	948	684	OTHER
145	3717	3720	216	975	338	1020	Port	OTHER
146	3722	3727	359	976	535	1019	Debbie	OTHER
147	3756	3757	626	980	677	1015	OR	OTHER
148	3775	3775	1929	881	1963	897	0	OTHER
149	3777	3777	1947	1921	1969	1952	4	OTHER
150	3781	3781	114	1190	137	1223	1	OTHER
151	3821	3822	1378	963	1410	995	14	OTHER
152	3824	3828	1449	961	1511	993	Other	OTHER
153	3875	3875	1924	941	1958	956	0	OTHER
154	3876	3877	1934	963	1962	992	12	OTHER
155	4047	4048	1926	901	1961	937	20	OTHER
156	4224	4224	2016	1029	2031	1051	V	OTHER
157	4230	4233	2080	1027	2163	1059	|153	OTHER
158	4410	4410	2012	1133	2035	1168	M	OTHER
159	4412	4414	2099	1133	2163	1172	321	OTHER
160	4416	4416	115	2713	135	2741	1	OTHER
161	4418	4427	149	1189	273	1223	Employee's	OTHER
162	4429	4435	278	1189	364	1221	address	OTHER
163	4437	4439	369	1189	412	1219	and	OTHER
164	4441	4443	417	1189	455	1217	ZIP	OTHER
165	4445	4448	460	1189	522	1216	code	OTHER
166	4450	4451	110	1212	134	1244	15	OTHER
167	4453	4457	148	1209	212	1244	State	OTHER
168	4459	4468	260	1219	379	1248	Employer's	OTHER
169	4470	4474	384	1218	437	1248	state	OTHER
170	4476	4477	442	1217	467	1248	ID	OTHER
171	4479	4484	473	1215	561	1248	number	OTHER
172	4509	4510	757	1213	788	1250	16	OTHER
173	4512	4516	795	1214	848	1250	State	OTHER
174	4518	4523	855	1215	930	1250	wages,	OTHER
175	4525	4529	937	1216	983	1250	tips,	OTHER
176	4531	4534	990	1215	1039	1249	etc.	OTHER
177	4540	4541	1122	1212	1155	1248	17	OTHER
