	46	56	396	40	550	71	128-77-5884	ssnOfEmployee
0	99	103	867	44	906	60	Safe,	OTHER
1	105	112	907	45	976	67	Accurate	OTHER
2	137	141	257	60	290	80	miler	OTHER
3	143	147	292	63	325	82	(ting	OTHER
4	164	173	147	80	290	110	11-7308678	einEmployerIdentificationNumber
5	248	251	864	63	914	86	FAST	OTHER
6	253	255	917	67	951	90	Use	OTHER
7	257	262	988	60	1109	93	defile	OTHER
8	263	264	1130	80	1144	99	at	OTHER
9	265	269	1131	57	1162	75	Visit	OTHER
10	270	275	1145	81	1203	103	wwwits	OTHER
11	401	403	1164	59	1187	77	the	OTHER
12	405	407	1189	61	1218	79	IRS	OTHER
13	409	415	1220	62	1280	82	Website	OTHER
14	545	553	1205	85	1269	105	govieille	OTHER
15	650	658	806	111	933	145	221260.06	box1WagesTipsAndOtherCompensations
16	669	673	1067	125	1135	154	35687	box2FederalIncomeTaxWithheld
17	675	677	1138	128	1177	156	.82	box2FederalIncomeTaxWithheld
18	693	700	144	132	262	163	Griffin,	employerName
19	702	708	270	138	370	169	Carlson	employerName
20	710	712	382	144	429	172	and	employerName
21	714	718	435	147	510	176	Moore	employerName
22	720	722	523	152	566	179	Inc	employerName
23	738	742	143	163	216	194	51650	employerAddressStreet_name
24	744	750	225	170	327	201	Brandon	employerAddressStreet_name
25	752	758	339	177	439	205	Squares	employerAddressStreet_name
26	819	827	804	165	929	196	179149.07	box3SocialSecurityWages
27	860	866	1063	179	1163	207	13704.9	box4SocialSecurityTaxWithheld
28	882	885	141	199	201	227	Port	employerAddressCity
29	887	895	211	204	337	233	Jaredland	employerAddressCity
30	900	901	405	212	436	237	NV	employerAddressState
31	906	915	490	218	631	250	09347-3180	employerAddressZip
32	962	970	800	218	926	248	166014.21	OTHER
33	1118	1124	1125	235	1218	261	4814.41	OTHER
34	1139	1145	138	284	237	312	2168626	OTHER
35	1220	1228	797	268	923	297	179149.07	OTHER
36	1271	1279	1122	284	1248	314	166014.21	OTHER
37	1427	1429	1120	337	1159	359	277	OTHER
38	1444	1449	132	359	229	392	Andrew	employeeName
39	1451	1456	291	368	388	398	Chavez	employeeName
40	1551	1553	793	379	827	401	298	OTHER
41	1596	1596	1074	394	1087	412	G	OTHER
42	1598	1601	1118	393	1169	420	4201	OTHER
43	1616	1618	131	405	181	435	339	OTHER
44	1620	1625	194	408	292	441	Andrew	OTHER
45	1627	1630	307	413	372	446	Isle	OTHER
46	1632	1635	385	417	456	450	Apt.	OTHER
47	1637	1639	467	421	517	454	242	OTHER
48	1654	1658	126	445	210	475	North	OTHER
49	1660	1666	224	449	340	482	Patrick	OTHER
50	1672	1673	416	458	449	485	ME	OTHER
51	1779	1779	1068	458	1081	475	M	OTHER
52	1781	1783	1118	459	1147	481	501	OTHER
53	1847	1854	528	464	659	496	13865-45	OTHER
54	1993	1993	1067	518	1081	538	V	OTHER
55	2130	2131	1055	578	1083	601	DD	OTHER
56	2133	2135	1108	579	1147	604	852	OTHER
57	2143	2144	72	602	99	619	OK	OTHER
58	2156	2165	187	605	323	636	582-01-721	OTHER
59	2183	2191	400	616	529	646	107989.13	OTHER
60	2209	2215	595	626	692	655	7205.36	OTHER
61	2217	2225	778	635	905	667	166540.32	OTHER
62	2246	2255	185	655	324	685	630-69-119	OTHER
63	2327	2334	984	647	1094	675	41319.92	OTHER
64	2352	2355	1164	660	1213	683	Frye	OTHER
65	2357	2362	1219	663	1288	687	Cliffs	OTHER
66	2410	2418	398	666	522	696	111346.82	OTHER
67	2435	2439	590	675	658	705	9500.	OTHER
68	2441	2442	662	679	687	706	73	OTHER
69	2464	2467	189	690	257	718	Wage	OTHER
70	2469	2471	261	693	309	720	and	OTHER
71	2473	2475	314	696	354	722	Tax	OTHER
72	2524	2532	776	685	905	717	249040.28	OTHER
73	2543	2550	980	698	1089	727	40957.73	OTHER
74	2556	2559	52	721	89	739	Form	OTHER
75	2561	2563	95	722	125	740	W-2	OTHER
76	2571	2579	190	720	305	750	Statement	OTHER
77	2624	2627	597	716	752	775	2019	taxYear
78	2642	2651	910	731	995	757	Department	OTHER
79	2653	2654	997	736	1011	758	of	OTHER
80	2656	2658	1013	736	1038	759	the	OTHER
81	2660	2676	1040	738	1161	765	Treasury-internal	OTHER
82	2678	2684	1163	744	1226	768	Revenue	OTHER
83	2686	2692	1229	747	1283	771	Service	OTHER
84	2698	2701	52	743	95	764	Copy	OTHER
85	2703	2706	97	746	144	767	B-To	OTHER
86	2708	2709	146	748	169	769	Be	OTHER
87	2711	2716	171	749	212	771	Filled	OTHER
88	2718	2721	214	752	250	773	with	OTHER
89	2723	2732	252	754	343	778	Employee's	OTHER
90	2734	2740	345	758	427	783	FEDERAL	OTHER
91	2742	2744	430	763	459	785	Tax	OTHER
92	2746	2751	461	764	517	788	Return	OTHER
93	2786	2787	303	779	319	799	to	OTHER
94	2789	2791	321	780	348	801	the	OTHER
95	2793	2800	350	781	407	804	Internal	OTHER
96	2802	2808	409	784	475	808	Revenue	OTHER
97	2810	2816	478	788	534	811	Service	OTHER
98	2849	2859	351	912	503	944	128-77-5884	OTHER
99	2871	2880	101	951	243	982	11-7308678	OTHER
100	2985	2988	995	940	1019	962	inte	OTHER
101	2990	2993	1020	958	1038	979	fall	OTHER
102	3085	3086	787	947	802	966	on	OTHER
103	3088	3091	805	948	829	968	your	OTHER
104	3093	3096	831	949	863	970	five	OTHER
105	3098	3102	866	950	908	972	moome	OTHER
106	3104	3105	910	952	922	973	is	OTHER
107	3107	3113	924	953	970	976	smantle	OTHER
108	3115	3117	972	955	994	977	and	OTHER
109	3119	3121	996	956	1018	978	you	OTHER
110	3125	3132	1023	940	1067	962	gustaity	OTHER
111	3134	3135	1070	942	1081	962	or	OTHER
112	3137	3141	1084	942	1114	963	otter	OTHER
113	3278	3279	1041	959	1054	980	Be	OTHER
114	3281	3284	1056	960	1090	981	mont	OTHER
115	3286	3287	1092	962	1108	982	it	OTHER
116	3289	3296	1118	944	1167	966	sanction	OTHER
117	3298	3300	1171	947	1196	969	may	OTHER
118	3302	3303	1199	950	1213	970	be	OTHER
119	3305	3307	1216	951	1236	972	ing	OTHER
120	3312	3321	47	971	128	999	(Englayers	OTHER
121	3323	3327	130	978	170	1000	mane.	OTHER
122	3329	3331	172	980	195	1001	won	OTHER
123	3397	3405	761	984	889	1015	221260.06	OTHER
124	3417	3424	98	1001	217	1034	Griffin,	OTHER
125	3426	3432	225	1008	325	1040	Carlson	OTHER
126	3434	3436	336	1014	383	1043	and	OTHER
127	3438	3442	389	1016	466	1048	Moore	OTHER
128	3444	3446	477	1021	520	1050	Inc	OTHER
129	3536	3543	1021	998	1132	1028	35687.82	OTHER
130	3555	3559	98	1035	171	1064	51650	OTHER
131	3561	3567	179	1039	283	1071	Brandon	OTHER
132	3569	3575	292	1046	397	1081	Squares	OTHER
133	3631	3639	757	1035	883	1065	179149.07	OTHER
134	3674	3678	1018	1052	1087	1074	13704	OTHER
135	3680	3681	1090	1053	1113	1076	.9	OTHER
136	3693	3696	95	1069	156	1097	Port	OTHER
137	3698	3706	166	1073	295	1104	Jaredland	OTHER
138	3711	3712	360	1083	394	1109	NV	OTHER
139	3714	3724	430	1085	588	1120	109347-3180	OTHER
140	3769	3777	755	1083	878	1119	156014.21	OTHER
141	3917	3923	1080	1104	1177	1131	4814.41	OTHER
142	4010	4018	751	1128	879	1170	179145102	OTHER
143	4028	4034	92	1154	191	1182	2168626	OTHER
144	4158	4166	1076	1154	1200	1185	166014.21	OTHER
145	4306	4308	1075	1206	1109	1229	277	OTHER
146	4317	4322	87	1225	184	1258	Andrew	OTHER
147	4324	4329	247	1235	343	1266	Chavez	OTHER
148	4395	4397	748	1239	795	1267	298	OTHER
149	4406	4408	86	1265	137	1296	339	OTHER
150	4410	4415	149	1268	247	1302	Andrew	OTHER
151	4417	4420	262	1274	330	1306	Isle	OTHER
152	4422	4425	340	1277	412	1311	Apt.	OTHER
153	4427	4429	422	1281	471	1313	242	OTHER
154	4530	4530	1028	1259	1042	1279	G	OTHER
155	4532	4535	1072	1262	1122	1286	4201	OTHER
156	4544	4548	80	1305	166	1336	North	OTHER
157	4550	4556	178	1309	294	1341	Patrick	OTHER
158	4562	4563	369	1318	401	1345	ME	OTHER
159	4673	4675	1068	1313	1106	1342	601	OTHER
160	4733	4741	484	1323	618	1357	13865-45:	OTHER
161	4869	4870	1007	1375	1039	1404	*V	OTHER
162	4872	4875	1053	1376	1112	1412	1123	OTHER
163	4879	4880	28	1456	53	1473	OK	OTHER
164	4894	4903	142	1458	281	1491	582-01-721	OTHER
165	4916	4924	356	1470	482	1500	107989.13	box16StateWagesTips
166	4945	4951	549	1481	648	1508	7205.36	box17StateIncomeTax
167	4954	4962	734	1489	859	1521	166540.32	OTHER
168	4965	4966	25	1510	49	1524	OR	OTHER
169	4979	4988	140	1510	278	1542	630-69-119	OTHER
170	5060	5067	937	1500	1052	1531	41319.92	OTHER
171	5085	5088	1120	1512	1169	1538	Frye	OTHER
172	5090	5095	1174	1515	1241	1542	Cliffe	OTHER
173	5135	5143	353	1524	479	1553	111346.82	OTHER
174	5164	5168	546	1531	612	1560	9500.	OTHER
175	5170	5171	616	1535	647	1562	73	OTHER
176	5189	5192	146	1545	212	1571	Wage	OTHER
177	5194	5196	216	1548	263	1574	and	OTHER
178	5198	5200	269	1551	309	1576	Tax	OTHER
179	5249	5257	733	1543	856	1573	249040.28	OTHER
180	5269	5276	935	1550	1044	1583	40957.73	OTHER
181	5278	5281	7	1574	44	1592	Form	OTHER
182	5283	5285	51	1575	80	1594	W-2	OTHER
183	5294	5302	145	1575	258	1604	Statement	OTHER
184	5345	5348	555	1571	704	1627	2019	OTHER
185	5364	5373	865	1584	951	1610	Department	OTHER
186	5375	5376	953	1590	966	1610	of	OTHER
187	5378	5380	968	1590	994	1612	the	OTHER
188	5382	5398	995	1592	1115	1618	Treasury-Internal	OTHER
189	5400	5406	1117	1599	1182	1622	Revenue	OTHER
190	5408	5414	1184	1602	1236	1624	Sentice	OTHER
191	5416	5419	8	1595	50	1618	Copy	OTHER
192	5421	5421	53	1597	66	1619	C	OTHER
193	5423	5425	69	1597	98	1620	For	OTHER
194	5427	5436	101	1599	208	1626	EMPLOYEE'S	OTHER
195	5438	5445	211	1605	301	1631	RECORDS.	OTHER
