	0	0.1	370	569	393	584	12a	OTHER
0	41	41	324	48	335	64	2	OTHER
1	42	48	350	46	401	63	Federal	OTHER
2	50	55	403	42	453	58	income	OTHER
3	57	59	454	39	477	54	tax	OTHER
4	61	68	478	33	535	52	withheld	OTHER
5	127	134	454	53	518	71	52569.93	box2FederalIncomeTaxWithheld
6	136	136	70	73	78	86	1	OTHER
7	138	143	99	68	148	85	Wages,	OTHER
8	144	152	134	80	205	98	147123.33	box1WagesTipsAndOtherCompensations
9	163	167	150	66	179	81	tips,	OTHER
10	169	173	181	63	216	78	other	OTHER
11	175	179	218	60	255	75	comp.	OTHER
12	223	223	329	102	338	116	4	OTHER
13	225	230	357	99	397	115	Social	OTHER
14	232	239	398	94	451	111	security	OTHER
15	241	244	458	108	490	122	9015	box4SocialSecurityTaxWithheld
16	306	308	452	92	474	107	tax	OTHER
17	310	317	476	86	532	105	withheld	OTHER
18	384	384	491	108	497	120	.	box4SocialSecurityTaxWithheld
19	386	387	498	107	515	120	83	box4SocialSecurityTaxWithheld
20	389	389	73	123	82	136	3	OTHER
21	391	396	106	121	146	136	Social	OTHER
22	397	405	139	131	212	150	117853.94	box3SocialSecurityWages
23	417	424	148	117	199	133	security	OTHER
24	426	430	200	113	245	129	wages	OTHER
25	473	473	333	154	343	167	6	OTHER
26	475	482	359	149	419	166	Medicare	OTHER
27	484	486	422	147	444	161	tax	OTHER
28	488	495	445	142	503	159	withheld	OTHER
29	496	499	463	159	494	175	4276	OTHER
30	501	503	495	157	520	172	.93	OTHER
31	505	505	77	175	88	188	5	OTHER
32	507	514	108	171	169	188	Medicare	OTHER
33	525	530	144	186	191	202	147480	OTHER
34	531	535	171	167	215	183	wages	OTHER
35	536	536	192	185	199	198	.	OTHER
36	538	539	200	184	216	197	25	OTHER
37	540	542	217	165	242	180	and	OTHER
38	544	547	244	162	270	177	tips	OTHER
39	589	596	514	188	569	206	Employer	OTHER
40	598	600	571	185	595	201	use	OTHER
41	602	603	591	201	607	214	36	OTHER
42	604	607	597	183	621	199	only	OTHER
43	641	644	273	211	299	225	Dept	OTHER
44	651	654	338	206	365	218	Corp	OTHER
45	674	674	466	210	476	225	A	OTHER
46	676	676	83	228	94	243	d	OTHER
47	678	684	110	224	157	241	Control	OTHER
48	686	691	159	220	209	237	number	OTHER
49	712	714	295	224	313	240	150	OTHER
50	717	723	84	243	140	259	6212513	OTHER
51	727	727	86	281	96	294	C	OTHER
52	729	738	117	274	188	293	Employer's	OTHER
53	743	747	190	270	233	287	name,	OTHER
54	749	756	235	265	289	283	address,	OTHER
55	769	776	154	289	243	312	Valencia	employerName
56	788	792	252	283	308	304	Group	employerName
57	793	795	291	262	317	278	and	OTHER
58	797	799	318	260	340	276	ZIP	OTHER
59	841	843	318	278	352	299	Ltd	employerName
60	844	847	343	256	374	273	code	OTHER
61	860	862	157	319	191	338	632	employerAddressStreet_name
62	864	869	202	313	268	335	Jensen	employerAddressStreet_name
63	871	875	277	306	331	329	Roads	employerAddressStreet_name
64	877	886	378	318	486	344	54791-2119	employerAddressZip
65	899	910	158	337	292	364	Laurachester	employerAddressCity
66	912	913	311	333	336	352	VT	employerAddressState
67	954	959	476	357	549	382	#02021	OTHER
68	1005	1009	351	370	411	393	Batch	OTHER
69	1056	1056	355	413	368	430	a	OTHER
70	1057	1066	383	406	458	428	Employee's	OTHER
71	1068	1070	461	404	487	420	SSA	OTHER
72	1071	1071	484	420	494	433	0	ssnOfEmployee
73	1072	1077	490	401	540	418	number	OTHER
74	1082	1082	98	434	111	451	b	OTHER
75	1084	1093	132	429	203	449	Employer's	OTHER
76	1108	1117	167	443	248	462	74-3529838	einEmployerIdentificationNumber
77	1118	1120	205	427	231	443	FED	OTHER
78	1122	1123	234	425	249	440	ID	OTHER
79	1125	1130	250	421	302	439	number	OTHER
80	1177	1177	360	465	370	479	8	OTHER
81	1179	1187	387	461	449	479	Allocated	OTHER
82	1189	1192	451	460	473	474	tips	OTHER
83	1194	1199	489	470	537	486	147480	OTHER
84	1201	1201	538	469	544	483	.	OTHER
85	1203	1204	545	468	563	482	25	OTHER
86	1214	1219	138	484	178	500	Social	OTHER
87	1220	1228	170	495	243	514	117853.94	OTHER
88	1246	1253	180	480	230	497	security	OTHER
89	1255	1258	232	477	256	493	tips	OTHER
90	1306	1307	365	517	382	533	10	OTHER
91	1309	1317	394	511	466	530	Dependent	OTHER
92	1319	1322	467	509	497	524	care	OTHER
93	1324	1331	499	504	550	521	benefits	OTHER
94	1402	1404	495	524	514	537	261	OTHER
95	1410	1410	109	539	119	553	9	OTHER
96	1412	1423	140	533	215	552	Verification	OTHER
97	1425	1425	226	549	235	560	0	OTHER
98	1426	1429	218	530	251	545	Code	OTHER
99	1478	1479	553	552	567	569	12	OTHER
100	1482	1484	400	567	425	581	See	OTHER
101	1486	1497	427	560	502	579	instructions	OTHER
102	1499	1501	503	558	523	573	for	OTHER
103	1503	1505	524	555	550	571	box	OTHER
104	1507	1507	488	596	497	608	1	OTHER
105	1515	1516	115	592	131	606	11	OTHER
106	1518	1529	148	584	230	603	Nonqualified	OTHER
107	1548	1550	181	604	202	617	264	OTHER
108	1552	1556	233	581	269	597	plans	OTHER
109	1599	1599	491	631	501	645	1	OTHER
110	1601	1604	500	592	531	607	9499	OTHER
111	1653	1655	375	622	396	636	12b	OTHER
112	1674	1674	490	614	499	627	|	OTHER
113	1676	1678	502	612	523	625	378	OTHER
114	1685	1686	120	643	134	657	14	OTHER
115	1688	1692	156	642	192	655	Other	OTHER
116	1728	1730	376	639	396	653	12c	OTHER
117	1750	1752	506	647	528	661	909	OTHER
118	1825	1827	504	629	525	643	657	OTHER
119	1878	1880	378	657	401	672	12d	OTHER
120	1931	1932	379	677	393	689	13	OTHER
121	1934	1937	394	676	416	689	Stat	OTHER
122	1939	1945	417	672	464	687	empRet.	OTHER
123	1947	1950	466	670	490	683	Plan	OTHER
124	1952	1954	506	666	525	680	3rd	OTHER
125	1956	1960	527	664	557	679	party	OTHER
126	1962	1965	559	662	582	676	sick	OTHER
127	1967	1969	584	660	605	674	pay	OTHER
128	1979	1981	127	733	149	749	elf	OTHER
129	1983	1991	158	727	229	747	Employees	OTHER
130	1993	1997	231	724	274	742	name,	OTHER
131	1999	2005	276	719	327	738	address	OTHER
132	2007	2009	329	716	354	733	and	OTHER
133	2011	2013	355	714	377	730	ZIP	OTHER
134	2015	2018	380	711	412	727	code	OTHER
135	2040	2046	195	761	273	783	Latasha	employeeName
136	2048	2054	318	750	393	772	Johnson	employeeName
137	2076	2080	199	787	254	809	48333	OTHER
138	2082	2087	263	781	331	804	Carter	OTHER
139	2089	2092	340	777	385	797	Lock	OTHER
140	2094	2097	394	771	444	793	Apt.	OTHER
141	2099	2101	450	768	484	788	351	OTHER
142	2123	2133	198	808	322	836	Maciasburgh	OTHER
143	2135	2136	342	804	366	823	AZ	OTHER
144	2138	2147	376	793	483	820	98420-5702	OTHER
145	2159	2160	139	860	154	874	15	OTHER
146	2162	2166	428	836	462	853	State	OTHER
147	2167	2168	203	875	218	887	CO	OTHER
148	2170	2178	265	848	328	866	Employers	OTHER
149	2191	2195	331	845	360	862	state	OTHER
150	2197	2198	362	843	375	859	ID	OTHER
151	2200	2201	377	842	393	858	no	OTHER
152	2203	2204	394	840	409	856	16	OTHER
153	2206	2210	174	859	204	873	State	OTHER
154	2212	2217	463	832	510	850	wages,	OTHER
155	2219	2223	511	829	541	847	tips,	OTHER
156	2224	2231	523	840	587	863	73176.09	box16StateWagesTips
157	2310	2313	542	827	567	845	etc.	OTHER
158	2348	2356	266	865	336	884	57-87-738	OTHER
159	2412	2413	397	891	416	907	18	OTHER
160	2415	2419	430	888	468	905	Local	OTHER
161	2421	2426	470	884	517	902	wages,	OTHER
162	2428	2432	518	882	547	898	tips,	OTHER
163	2433	2438	527	896	574	912	156390	OTHER
164	2518	2521	549	880	575	895	etc.	OTHER
165	2522	2522	575	895	581	908	.	OTHER
166	2524	2525	583	894	598	908	45	OTHER
167	2538	2539	143	914	156	928	17	OTHER
168	2541	2545	182	911	214	925	State	OTHER
169	2546	2550	210	925	248	940	6525.	box17StateIncomeTax
170	2552	2557	216	907	265	923	income	OTHER
171	2558	2559	249	924	263	937	45	box17StateIncomeTax
172	2561	2563	267	904	289	919	tax	OTHER
173	2620	2621	403	943	418	957	20	OTHER
174	2622	2629	435	939	488	956	Locality	OTHER
175	2631	2634	490	937	526	952	name	OTHER
176	2636	2640	531	948	572	965	Cathy	OTHER
177	2642	2645	580	945	613	961	Isle	OTHER
178	2659	2660	148	966	162	978	19	OTHER
179	2662	2666	184	962	221	977	Local	OTHER
180	2667	2671	213	976	253	993	27871	OTHER
181	2672	2677	223	958	272	974	income	OTHER
182	2678	2678	254	975	261	989	.	OTHER
183	2680	2681	261	974	278	988	77	OTHER
184	2682	2684	274	956	295	971	tax	OTHER
185	2743	2748	415	995	457	1015	Filing	OTHER
186	2764	2767	548	985	590	1004	Copy	OTHER
187	2803	2809	276	1003	343	1028	Federal	OTHER
188	2856	2859	349	1024	402	1045	Wage	OTHER
189	2861	2863	424	1020	455	1041	and	OTHER
190	2865	2867	488	1012	516	1031	Tax	OTHER
191	2869	2872	545	1031	627	1070	2018	taxYear
192	2918	2926	342	1047	431	1071	Statement	OTHER
193	2942	2944	160	1066	230	1105	W-2	OTHER
194	3005	3007	542	1076	573	1093	OMB	OTHER
195	3009	3011	575	1075	599	1091	No.	OTHER
196	3013	3021	601	1069	662	1089	1545-0008	OTHER
197	3037	3040	159	1110	191	1129	Copy	OTHER
198	3042	3042	193	1109	204	1126	B	OTHER
199	3044	3045	205	1108	218	1125	to	OTHER
200	3047	3048	220	1106	236	1124	be	OTHER
201	3050	3054	238	1104	263	1122	filed	OTHER
202	3056	3059	265	1101	291	1120	with	OTHER
203	3061	3070	293	1096	359	1117	employee's	OTHER
204	3072	3078	361	1092	405	1111	Federal	OTHER
205	3080	3085	407	1088	452	1107	Income	OTHER
