	0	0.1	1000	437	1008	451	Go	OTHER
0	172	176	1044	26	1075	44	Visit	OTHER
1	178	180	1076	24	1099	41	the	OTHER
2	182	184	1101	21	1127	39	IRS	OTHER
3	186	192	1130	15	1190	36	Website	OTHER
4	322	326	778	52	816	73	Safe,	OTHER
5	328	336	817	46	889	69	Accurate,	OTHER
6	338	340	903	53	940	77	The	OTHER
7	342	345	972	45	1019	73	file	OTHER
8	347	348	1046	54	1060	70	at	OTHER
9	350	366	1061	40	1178	68	www.irs.gov/efile	OTHER
10	495	499	777	75	830	96	FAST!	OTHER
11	501	503	831	72	866	91	Use	OTHER
12	526	526	970	88	981	103	2	OTHER
13	528	534	993	84	1038	101	Federal	OTHER
14	536	541	1040	79	1085	95	income	OTHER
15	543	545	1086	77	1107	90	tax	OTHER
16	547	554	1109	70	1157	88	withheld	OTHER
17	656	658	610	97	641	112	OMB	OTHER
18	660	662	644	93	669	110	No.	OTHER
19	664	672	670	87	729	107	1545-0008	OTHER
20	718	722	989	103	1059	129	35053	box2FederalIncomeTaxWithheld
21	724	724	1060	102	1072	122	.	box2FederalIncomeTaxWithheld
22	726	727	1073	100	1096	120	39	box2FederalIncomeTaxWithheld
23	763	763	214	116	224	131	a	OTHER
24	765	774	234	108	309	129	Employee's	OTHER
25	776	781	310	103	349	122	social	OTHER
26	791	798	351	98	402	118	security	OTHER
27	800	805	403	92	455	112	number	OTHER
28	863	873	313	111	466	149	208-01-9056	ssnOfEmployee
29	921	926	705	113	753	130	Wages,	OTHER
30	928	932	754	110	783	126	tips,	OTHER
31	934	938	784	107	815	123	other	OTHER
32	940	951	817	99	899	120	compensation	OTHER
33	1072	1077	729	130	812	155	145021	box1WagesTipsAndOtherCompensations
34	1079	1079	815	128	825	148	.	box1WagesTipsAndOtherCompensations
35	1081	1082	826	125	852	147	05	box1WagesTipsAndOtherCompensations
36	1117	1122	1001	136	1039	151	Social	OTHER
37	1124	1131	1040	130	1087	148	security	OTHER
38	1133	1135	1089	128	1109	143	tax	OTHER
39	1137	1144	1111	122	1160	140	withheld	OTHER
40	1257	1257	687	167	701	185	3	OTHER
41	1259	1264	712	166	750	182	Social	OTHER
42	1266	1273	751	161	799	178	security	OTHER
43	1275	1279	801	158	836	173	wages	OTHER
44	1309	1315	995	153	1090	182	8824.23	box4SocialSecurityTaxWithheld
45	1317	1317	16	189	27	204	b	OTHER
46	1319	1326	33	183	90	202	Employer	OTHER
47	1328	1341	91	175	167	196	identification	OTHER
48	1343	1348	167	170	214	188	number	OTHER
49	1350	1354	214	166	246	183	(EIN)	OTHER
50	1437	1442	734	182	818	210	115349	box3SocialSecurityWages
51	1451	1451	820	181	831	201	.	box3SocialSecurityWages
52	1455	1456	832	178	860	200	44	box3SocialSecurityWages
53	1477	1477	982	191	993	205	6	OTHER
54	1480	1487	1003	184	1060	203	Medicare	OTHER
55	1490	1492	1060	182	1083	197	tax	OTHER
56	1493	1496	1062	201	1119	226	2988	OTHER
57	1676	1683	1083	177	1131	195	withheld	OTHER
58	1684	1684	1120	200	1133	220	.	OTHER
59	1686	1687	1134	198	1160	219	71	OTHER
60	1701	1710	74	192	213	226	54-3245497	einEmployerIdentificationNumber
61	1801	1801	693	221	706	236	5	OTHER
62	1803	1810	715	215	772	234	Medicare	OTHER
63	1812	1816	773	211	813	228	wages	OTHER
64	1818	1820	815	208	836	224	and	OTHER
65	1822	1825	838	206	857	221	tips	OTHER
66	1828	1828	23	242	33	257	c	OTHER
67	1830	1839	39	234	104	255	Employer's	OTHER
68	1841	1845	106	230	145	247	name,	OTHER
69	1847	1854	146	223	199	243	address,	OTHER
70	1856	1858	200	220	224	237	and	OTHER
71	1860	1862	224	218	246	235	ZIP	OTHER
72	1864	1867	248	214	275	232	code	OTHER
73	1948	1953	739	233	823	259	103058	OTHER
74	1955	1955	826	232	836	252	.	OTHER
75	1957	1958	837	229	865	251	98	OTHER
76	1989	1997	1010	235	1066	254	Allocated	OTHER
77	1999	2002	1067	234	1088	249	tips	OTHER
78	2016	2031	79	237	302	280	Stevenson-Foster	employerName
79	2033	2035	315	230	357	255	LLC	employerName
80	2117	2117	698	270	709	284	7	OTHER
81	2119	2124	723	267	761	283	Social	OTHER
82	2126	2133	762	263	810	279	security	OTHER
83	2135	2138	811	261	833	275	tips	OTHER
84	2181	2186	1068	249	1153	276	103058	OTHER
85	2188	2188	1154	247	1166	268	.	OTHER
86	2190	2191	1167	244	1192	267	98	OTHER
87	2206	2210	83	285	156	314	37384	employerAddressStreet_name
88	2212	2218	163	274	264	305	William	employerAddressStreet_name
89	2220	2224	277	266	348	293	Plain	employerAddressStreet_name
90	2315	2321	745	282	842	311	115349.	OTHER
91	2323	2324	843	279	872	301	44	OTHER
92	2354	2355	987	293	1001	307	10	OTHER
93	2357	2365	1015	285	1080	304	Dependent	OTHER
94	2367	2370	1081	282	1109	297	care	OTHER
95	2423	2424	282	304	310	327	SC	employerAddressState
96	2438	2447	380	282	518	316	78762-9429	employerAddressZip
97	2563	2563	703	321	714	336	9	OTHER
98	2565	2576	727	315	794	334	Verification	OTHER
99	2578	2581	795	313	825	328	Code	OTHER
100	2626	2628	1075	305	1111	326	217	OTHER
101	2629	2636	1110	277	1157	294	benefits	OTHER
102	2651	2659	84	315	213	347	Brownside	employerAddressCity
103	2824	2825	1000	343	1014	355	2a	OTHER
104	2827	2829	1036	339	1060	353	See	OTHER
105	2831	2842	1062	331	1137	351	instructions	OTHER
106	2844	2846	1138	328	1158	343	for	OTHER
107	2848	2850	1159	324	1185	341	box	OTHER
