	0	0.1	1015	102	1090	132	Accurate,	OTHER
0	0	0	149	952	288	989	16-8543273	OTHER
1	0	0	1172	1001	1222	1024	Service.	OTHER
2	0	0	1163	1017	1214	1040	sanction	OTHER
3	0	0	797	1084	924	1118	184863.25	OTHER
4	0	0	226	1447	275	1469	number	OTHER
5	0	0	221	1553	269	1582	and	OTHER
6	66	75	433	30	507	57	Employee's	OTHER
7	77	82	508	41	547	62	social	OTHER
8	84	91	549	46	600	69	security	OTHER
9	96	96	203	53	218	73	b	OTHER
10	97	97	173	307	188	327	e	OTHER
11	131	131	97	918	111	938	b	OTHER
12	133	140	220	55	277	82	Employer	OTHER
13	142	155	278	63	353	92	identification	OTHER
14	157	162	602	52	653	75	number	OTHER
15	164	168	401	80	434	99	(EIN)	OTHER
16	178	188	505	64	657	100	178-86-9660	ssnOfEmployee
17	229	238	255	86	394	123	16-8543273	einEmployerIdentificationNumber
18	321	323	803	101	834	121	OMB	OTHER
19	325	327	836	103	861	124	No.	OTHER
20	329	337	862	105	924	132	1545-0008	OTHER
21	349	353	975	97	1014	119	Safe,	OTHER
22	356	356	200	106	213	127	c	OTHER
23	357	357	93	970	106	990	c	OTHER
24	360	361	1235	157	1251	175	at	OTHER
25	362	362	66	1173	81	1193	e	OTHER
26	398	407	215	107	280	135	Employer's	OTHER
27	409	413	282	115	320	140	name,	OTHER
28	415	422	323	120	373	146	address,	OTHER
29	424	426	376	127	397	149	and	OTHER
30	428	430	400	130	421	151	ZIP	OTHER
31	432	435	424	134	453	155	code	OTHER
32	523	527	970	120	1023	145	FAST!	OTHER
33	529	531	1023	126	1060	149	Use	OTHER
34	533	534	1094	122	1138	153	we	OTHER
35	554	557	1163	133	1216	164	file	OTHER
36	559	563	1243	131	1271	152	Visit	OTHER
37	565	567	1272	134	1296	155	the	OTHER
38	569	571	1296	137	1326	159	IRS	OTHER
39	573	579	1327	141	1390	167	Website	OTHER
40	620	637	248	138	502	191	Mcconnell-Whitaker	employerName
41	639	641	513	170	558	198	and	employerName
42	643	646	568	177	626	207	Sons	employerName
43	723	728	892	140	939	163	Wages,	OTHER
44	730	734	940	145	968	167	tips,	OTHER
45	736	740	970	149	1001	171	other	OTHER
46	742	753	1003	153	1088	179	compensation	OTHER
47	793	797	245	171	317	202	19841	employerAddressStreet_name
48	799	804	327	180	414	214	Torres	employerAddressStreet_name
49	806	811	423	193	507	225	Bridge	employerAddressStreet_name
50	903	908	910	165	994	195	167506	box1WagesTipsAndOtherCompensations
51	910	910	995	175	1006	197	.	OTHER
52	912	913	1006	177	1029	200	94	box1WagesTipsAndOtherCompensations
53	958	958	919	987	929	1005	a	OTHER
54	961	978	1251	158	1377	191	www.irs.gov/efile.	OTHER
55	1123	1128	886	192	924	214	Social	OTHER
56	1130	1137	926	196	973	220	security	OTHER
57	1139	1143	974	201	1018	226	wages	OTHER
58	1174	1180	1180	175	1224	197	Federal	OTHER
59	1182	1187	1225	181	1269	203	income	OTHER
60	1189	1191	1271	186	1292	205	tax	OTHER
61	1193	1200	1293	189	1347	209	withheld	OTHER
62	1239	1243	239	203	312	236	South	employerAddressCity
63	1245	1251	324	214	425	250	Joyfurt	employerAddressCity
64	1253	1254	449	229	479	257	TN	employerAddressState
65	1256	1265	490	234	631	274	10442-2651	employerAddressZip
66	1396	1401	1173	197	1252	228	12816.	box2FederalIncomeTaxWithheld
67	1403	1404	1253	207	1283	233	96	box2FederalIncomeTaxWithheld
68	1552	1560	904	217	1025	252	184863.25	box3SocialSecurityWages
69	1599	1604	1173	226	1212	249	Social	OTHER
70	1606	1613	1214	231	1260	255	security	OTHER
71	1615	1617	1262	237	1282	257	tax	OTHER
72	1619	1626	1283	240	1333	261	withheld	OTHER
73	1770	1777	879	240	934	265	Medicare	OTHER
74	1779	1783	936	247	975	271	wages	OTHER
75	1785	1785	993	996	1003	1014	a	OTHER
76	1787	1787	180	258	192	275	d	OTHER
77	1789	1792	1001	256	1029	279	tips	OTHER
78	1819	1823	1160	249	1232	279	14142	box4SocialSecurityTaxWithheld
79	1825	1825	1233	257	1243	280	.	box4SocialSecurityTaxWithheld
80	1827	1828	1245	258	1274	284	04	box4SocialSecurityTaxWithheld
81	1858	1858	74	1122	89	1142	d	OTHER
82	1860	1866	196	260	240	283	Control	OTHER
83	1868	1873	354	73	399	96	number	OTHER
84	1975	1980	896	270	982	300	205504	OTHER
85	1982	1982	983	280	994	301	.	OTHER
86	1985	1985	1144	274	1156	293	6	OTHER
87	2018	2018	1038	1140	1050	1157	6	OTHER
88	2020	2027	1167	276	1222	299	Medicare	OTHER
89	2029	2031	1224	281	1244	302	tax	OTHER
90	2033	2040	1246	284	1297	309	withheld	OTHER
91	2078	2084	230	289	331	321	5787301	OTHER
92	2183	2188	874	293	913	314	Social	OTHER
93	2190	2197	913	297	961	320	security	OTHER
94	2199	2202	962	303	990	323	tips	OTHER
95	2232	2241	189	310	258	335	Employee's	OTHER
96	2243	2247	260	320	283	338	first	OTHER
97	2249	2252	285	323	319	342	name	OTHER
98	2254	2256	977	253	1000	274	and	OTHER
99	2258	2264	345	330	381	349	initial	OTHER
100	2314	2317	438	339	466	360	Last	OTHER
101	2319	2322	467	343	507	366	name	OTHER
102	2468	2469	851	657	868	680	18	OTHER
103	2470	2471	1132	719	1161	743	48	OTHER
104	2474	2474	1277	316	1287	336	.	OTHER
105	2476	2476	142	570	155	589	5	OTHER
106	2514	2522	1161	326	1217	350	Allocated	OTHER
107	2523	2526	1220	307	1275	335	5959	OTHER
108	2730	2733	1219	334	1247	351	tips	OTHER
109	2735	2735	1299	369	1310	390	.	OTHER
110	2737	2738	1289	317	1318	340	62	OTHER
111	2774	2779	217	364	318	400	Marcia	employeeName
112	2781	2788	331	379	461	416	Campbell	employeeName
113	2939	2944	1214	358	1298	389	205504	OTHER
114	2946	2946	719	667	729	691	.	OTHER
115	2948	2949	994	281	1024	306	16	OTHER
116	3079	3083	790	382	824	404	Suff.	OTHER
117	3085	3086	831	389	850	408	11	OTHER
118	3088	3099	860	393	933	419	Nonqualified	OTHER
119	3101	3105	934	404	970	423	plans	OTHER
120	3136	3137	1125	375	1142	392	10	OTHER
121	3139	3147	1155	379	1219	402	Dependent	OTHER
122	3149	3152	1220	387	1248	405	care	OTHER
123	3154	3161	1249	390	1299	409	benefits	OTHER
124	3196	3199	215	409	283	443	1759	OTHER
125	3201	3205	292	418	379	455	Reyes	OTHER
126	3207	3212	388	431	487	467	Groves	OTHER
127	3362	3364	1209	410	1245	433	238	OTHER
128	3366	3368	1265	443	1286	460	for	OTHER
129	3370	3372	1287	446	1315	464	box	OTHER
130	3374	3375	1316	449	1332	466	12	OTHER
131	3560	3562	1120	425	1148	444	12a	OTHER
132	3564	3566	1162	431	1189	449	See	OTHER
133	3568	3579	1189	434	1265	458	instructions	OTHER
134	3724	3726	878	430	916	452	177	OTHER
135	3761	3769	209	449	357	490	Adamsfurt	OTHER
136	3771	3772	382	468	418	495	MD	OTHER
137	3861	3862	824	449	840	467	13	OTHER
138	3864	3872	842	453	890	469	Statutory	OTHER
139	3874	3882	936	465	985	482	atirement	OTHER
140	3917	3918	1148	465	1177	486	BB	OTHER
141	3920	3922	1202	470	1242	493	792	OTHER
142	3978	3987	482	481	642	524	41080-5957	OTHER
143	4060	4067	839	472	885	490	employee	OTHER
144	4069	4072	929	481	952	500	plan	OTHER
145	4081	4090	1019	476	1064	493	hird-party	OTHER
146	4106	4107	1115	480	1132	496	12	OTHER
147	4257	4257	930	495	950	522	x	OTHER
148	4265	4268	1013	489	1034	506	sick	OTHER
149	4271	4273	1035	492	1058	509	pay	OTHER
150	4407	4408	815	512	835	530	14	OTHER
151	4410	4414	846	516	878	537	Other	OTHER
152	4612	4614	1193	529	1232	552	143	OTHER
153	4797	4799	1107	549	1126	563	120	OTHER
154	4823	4823	142	556	155	575	f	OTHER
155	4825	4834	159	559	228	584	Employee's	OTHER
156	4836	4842	230	569	278	590	address	OTHER
157	4844	4846	321	327	343	345	and	OTHER
158	4848	4850	304	578	325	595	ZIP	OTHER
159	4852	4855	328	581	360	599	code	OTHER
160	4881	4885	158	574	195	593	State	OTHER
161	4887	4896	216	581	282	606	Employer's	OTHER
162	4900	4904	284	591	315	610	state	OTHER
163	4906	4907	316	595	330	612	ID	OTHER
164	4909	4914	240	267	277	288	number	OTHER
165	4938	4939	142	598	170	619	VA	OTHER
166	5111	5113	1185	591	1222	615	843	OTHER
167	5154	5163	257	614	397	650	197-20-641	OTHER
168	5182	5183	1311	371	1338	393	16	OTHER
169	5185	5189	496	614	528	639	State	OTHER
170	5191	5196	530	618	573	644	wages,	OTHER
171	5198	5202	575	625	602	647	tips,	OTHER
172	5204	5207	604	629	626	649	etc.	OTHER
173	5229	5230	138	647	166	668	CT	OTHER
174	5276	5283	472	639	578	671	83037.93	OTHER
175	5304	5305	666	635	685	657	17	OTHER
176	5307	5311	687	638	718	661	State	OTHER
177	5313	5318	719	643	765	667	income	OTHER
178	5320	5322	766	649	788	669	tax	OTHER
179	5376	5378	1179	650	1214	677	765	OTHER
180	5419	5428	252	663	390	700	030-89-566	OTHER
181	5474	5477	660	660	718	689	5840	OTHER
182	5479	5479	931	694	941	715	.	OTHER
183	5481	5482	730	669	758	695	81	OTHER
184	5496	5497	746	1507	763	1530	18	OTHER
185	5499	5503	870	660	902	684	Local	OTHER
186	5505	5510	904	664	948	690	wages,	OTHER
187	5512	5516	949	671	977	693	tips,	OTHER
188	5518	5521	979	675	1000	696	etc.	OTHER
189	5562	5565	255	696	323	728	Wage	OTHER
190	5567	5569	280	575	302	592	and	OTHER
191	5571	5573	378	711	420	737	Tax	OTHER
192	5575	5582	464	686	576	724	88078.23	OTHER
193	5617	5620	656	711	710	739	6062	OTHER
194	5622	5622	712	716	723	741	.	OTHER
195	5624	5625	725	718	753	745	94	OTHER
196	5742	5747	845	686	930	714	147651	OTHER
197	5749	5749	1119	717	1130	739	.	OTHER
198	5751	5752	942	696	970	719	55	OTHER
199	5775	5776	1052	685	1071	704	19	OTHER
200	5778	5782	1072	688	1105	709	Local	OTHER
201	5784	5789	1106	692	1150	715	income	OTHER
202	5791	5793	1152	698	1173	718	tax	OTHER
203	5943	5947	1047	710	1118	737	19719	OTHER
204	5949	5949	924	744	936	767	.	OTHER
205	5951	5952	1027	1569	1057	1594	48	OTHER
206	5970	5971	1236	705	1254	726	20	OTHER
207	5973	5980	1256	709	1303	733	Locality	OTHER
208	5982	5985	1304	716	1345	738	name	OTHER
209	6004	6007	115	718	151	738	Form	OTHER
210	6009	6011	159	722	184	744	W-2	OTHER
211	6025	6033	251	727	368	763	Statement	OTHER
212	6161	6166	1229	735	1294	761	Miller	OTHER
213	6168	6172	1300	743	1349	768	Parks	OTHER
214	6191	6194	113	739	157	764	Copy	OTHER
215	6196	6200	158	745	206	770	B--To	OTHER
216	6202	6203	208	751	231	774	Be	OTHER
217	6205	6209	232	754	273	779	Filed	OTHER
218	6218	6221	274	760	311	783	with	OTHER
219	6223	6232	312	764	404	795	Employee's	OTHER
220	6234	6240	406	776	488	805	FEDERAL	OTHER
221	6242	6244	489	786	518	809	Tax	OTHER
222	6246	6251	520	790	576	816	Return	OTHER
223	6269	6272	111	763	143	784	This	OTHER
224	6274	6284	144	767	228	794	information	OTHER
225	6286	6287	229	778	245	796	is	OTHER
226	6289	6293	246	780	291	802	being	OTHER
227	6295	6303	292	786	362	810	furnished	OTHER
228	6305	6306	363	795	380	813	to	OTHER
229	6308	6310	382	797	408	816	the	OTHER
230	6312	6319	409	800	466	823	Internal	OTHER
231	6321	6327	468	807	535	832	Revenue	OTHER
232	6329	6335	1288	827	1342	853	Service	OTHER
233	6336	6336	1112	766	1123	790	.	OTHER
234	6347	6350	658	753	814	817	2019	taxYear
235	6352	6357	839	735	923	766	197046	OTHER
236	6359	6359	1134	1071	1144	1093	.	OTHER
237	6361	6362	937	745	968	769	46	OTHER
238	6399	6403	1040	758	1111	789	29482	OTHER
239	6405	6405	1127	1122	1137	1144	.	OTHER
240	6407	6408	1125	767	1153	794	06	OTHER
241	6547	6556	972	787	1057	818	Department	OTHER
242	6558	6559	1058	799	1072	820	of	OTHER
243	6561	6563	1074	801	1098	823	the	OTHER
244	6565	6582	1100	804	1219	838	Treasury--Internal	OTHER
245	6583	6590	1225	789	1302	814	Gonzales	OTHER
246	6767	6773	1221	819	1285	846	Revenue	OTHER
247	6775	6781	1182	1676	1240	1701	Service	OTHER
248	6968	6971	1305	797	1343	820	Park	OTHER
249	7065	7067	565	870	588	892	Cut	OTHER
250	7069	7073	589	873	630	899	here.	OTHER
251	7075	7078	631	879	666	904	Keep	OTHER
252	7080	7084	668	884	706	909	lower	OTHER
253	7086	7092	707	889	753	915	portion	OTHER
254	7094	7096	754	894	774	917	for	OTHER
255	7098	7101	776	897	806	921	your	OTHER
256	7103	7110	808	900	865	926	records.	OTHER
257	7161	7170	326	897	401	924	Employee's	OTHER
258	7172	7177	402	906	441	929	social	OTHER
259	7179	7186	443	910	493	935	security	OTHER
260	7188	7193	332	597	380	617	number	OTHER
261	7210	7217	114	921	171	947	Employer	OTHER
262	7219	7232	172	929	247	957	identification	OTHER
263	7234	7239	494	916	546	941	number	OTHER
