	18	28	378	49	531	87	295-20-2777	ssnOfEmployee
0	31	40	130	82	268	115	47-6910970	einEmployerIdentificationNumber
1	88	88	991	95	1009	121	e	OTHER
2	90	94	1020	97	1090	128	.file	OTHER
3	97	103	121	134	222	166	Flowers	employerName
4	105	107	234	143	280	171	and	employerName
5	109	112	290	148	348	177	Sons	employerName
6	114	116	359	154	404	181	Led	employerName
7	141	149	783	139	911	172	170401.23	box1WagesTipsAndOtherCompensations
8	152	154	119	166	168	194	327	employerAddressStreet_name
9	156	162	171	170	278	204	Miranda	employerAddressStreet_name
10	164	169	286	180	370	213	Shoals	employerAddressStreet_name
11	214	221	1044	159	1157	194	23526.27	box2FederalIncomeTaxWithheld
12	224	227	115	199	177	230	Lake	employerAddressCity
13	229	233	186	207	259	238	Kayla	employerAddressCity
14	235	236	281	216	313	243	10	employerAddressState
15	268	276	779	191	905	224	137908-53	box3SocialSecurityWages
16	296	305	369	223	508	259	75749-9541	employerAddressZip
17	341	347	1039	214	1138	245	10550.0	box4SocialSecurityTaxWithheld
18	393	401	775	241	902	275	205480.53	OTHER
19	471	477	1098	270	1197	301	5950.94	OTHER
20	479	485	109	286	208	316	6050742	OTHER
21	523	531	770	293	897	326	137908-53	OTHER
22	601	609	1095	321	1220	353	205460.53	OTHER
23	611	615	100	362	182	393	Mason	employeeName
24	617	623	246	374	359	409	Edwards	employeeName
25	679	681	1091	373	1133	396	170	OTHER
26	683	687	100	404	183	439	34146	OTHER
27	689	695	196	413	310	451	Jessica	OTHER
28	697	701	323	424	404	460	Track	OTHER
29	726	728	761	402	803	427	282	OTHER
30	730	737	94	445	227	484	Claybury	OTHER
31	739	740	252	458	292	490	NE	OTHER
32	742	751	334	465	496	505	19604-6920	OTHER
33	793	794	1036	429	1061	449	AA	OTHER
34	859	859	1034	488	1053	513	C	OTHER
35	865	874	148	608	287	642	957-07-707	OTHER
36	922	923	984	595	1007	635	1.	OTHER
37	925	926	1009	599	1049	640	20	OTHER
38	928	931	1053	606	1110	644	1297	OTHER
39	950	957	362	627	473	659	83795.31	box16StateWagesTips
40	961	970	144	658	284	693	783-72-850	OTHER
41	991	997	554	643	651	674	5470.95	box17StateIncomeTax
42	1001	1009	738	656	865	694	429929-65	OTHER
43	1028	1034	359	677	459	708	77415.0	OTHER
44	1068	1074	940	675	1041	709	24623.2	OTHER
45	1078	1081	148	691	215	723	Wage	OTHER
46	1083	1085	218	698	268	727	and	OTHER
47	1087	1089	273	703	313	729	Tax	OTHER
48	1093	1101	147	724	267	758	Statement	OTHER
49	1123	1126	554	733	701	797	2018	taxYear
