	38	48	352	40	503	71	284-29-8034	ssnOfEmployee
0	127	130	820	66	866	85	FAST	OTHER
1	132	134	873	68	907	88	Use	OTHER
2	138	138	967	62	984	88	e	OTHER
3	140	144	996	64	1064	93	-file	OTHER
4	156	165	103	79	243	109	22-3269359	einEmployerIdentificationNumber
5	240	247	761	115	875	143	194203.9	box1WagesTipsAndOtherCompensations
6	261	268	1023	128	1133	155	31759.01	box2FederalIncomeTaxWithheld
7	280	284	99	133	174	160	Rich,	employerName
8	286	292	183	137	284	165	Ramirez	employerName
9	294	296	295	143	341	168	and	employerName
10	298	303	350	146	438	173	Rivera	employerName
11	305	307	449	151	492	175	PLC	employerName
12	319	322	99	166	157	193	9507	employerAddressStreet_name
13	324	331	167	169	283	199	Faulkner	employerAddressStreet_name
14	333	339	290	175	393	205	Meadows	employerAddressStreet_name
15	382	390	759	167	886	195	212320.63	box3SocialSecurityWages
16	402	409	1019	182	1132	208	16242.53	box4SocialSecurityTaxWithheld
17	421	425	96	200	167	227	South	employerAddressCity
18	427	438	180	204	350	238	Stephenmouth	employerAddressCity
19	498	506	503	221	630	250	63416-888	employerAddressZip
20	512	519	757	218	868	245	211626.4	OTHER
21	620	626	1081	235	1180	261	6137.17	OTHER
22	700	708	753	269	878	296	212320.63	OTHER
23	719	725	93	286	191	312	4159605	OTHER
24	809	816	1078	287	1189	313	211626.4	OTHER
25	917	919	1076	338	1116	358	277	OTHER
26	929	935	87	360	200	394	Anthony	employeeName
27	941	944	278	371	344	397	Reed	employeeName
28	993	995	748	379	789	401	197	OTHER
29	1015	1015	1030	395	1043	413	Y	OTHER
30	1017	1020	1071	396	1127	419	9916	OTHER
31	1030	1033	86	405	151	434	8865	OTHER
32	1035	1041	163	410	278	441	Kristen	OTHER
33	1043	1047	294	417	371	446	Pines	OTHER
34	1057	1066	81	444	245	480	Dylanburgh	OTHER
35	1070	1071	305	456	341	481	MO	OTHER
36	1073	1082	388	460	546	493	98442-9274	OTHER
37	1143	1143	1026	458	1039	476	F	OTHER
38	1145	1147	1069	457	1107	481	157	OTHER
39	1248	1250	1066	519	1105	543	859	OTHER
40	1344	1345	1012	578	1042	603	03	OTHER
41	1347	1349	1065	580	1101	606	724	OTHER
42	1367	1376	142	606	280	634	038-00-779	OTHER
43	1392	1400	356	615	482	646	104013.19	box16StateWagesTips
44	1413	1419	551	628	647	654	6384.65	box17StateIncomeTax
45	1421	1429	733	637	858	664	137526.74	OTHER
46	1447	1456	139	656	277	686	155-63-508	OTHER
47	1519	1526	938	647	1050	674	22853.51	OTHER
48	1568	1575	354	668	467	696	93734-12	OTHER
49	1589	1595	545	676	641	705	8764.75	OTHER
50	1613	1616	145	689	211	717	Wage	OTHER
51	1618	1620	215	692	263	720	and	OTHER
52	1622	1624	268	695	309	722	Tax	OTHER
53	1667	1675	730	687	858	716	152072.19	OTHER
54	1685	1692	934	698	1046	726	24455.48	OTHER
55	1694	1696	7	720	41	741	Fam	OTHER
56	1698	1699	50	722	81	742	Wa	OTHER
57	1710	1718	145	720	262	750	Statement	OTHER
58	1756	1759	553	717	702	774	2018	taxYear
59	1799	1803	1116	712	1179	733	Denza	OTHER
60	1805	1808	1191	715	1239	740	Loop	OTHER
61	1810	1813	7	743	50	766	Copy	OTHER
62	1815	1818	53	745	98	769	B-To	OTHER
63	1820	1821	101	747	124	770	Be	OTHER
64	1823	1828	128	749	166	772	Filled	OTHER
65	1830	1833	169	751	203	774	with	OTHER
66	1835	1844	207	753	297	779	Employer's	OTHER
67	1846	1852	301	758	382	783	FEDERAL	OTHER
68	1854	1856	385	762	414	785	Tax	OTHER
69	1858	1864	417	764	475	788	Returns	OTHER
70	1866	1868	7	768	36	787	The	OTHER
71	1870	1877	39	769	121	792	moomates	OTHER
72	1879	1880	124	773	140	793	is	OTHER
73	1882	1885	142	774	185	795	bang	OTHER
74	1887	1894	188	776	257	799	forinned	OTHER
75	1896	1896	260	779	272	800	t	OTHER
76	1898	1899	278	780	302	801	he	OTHER
77	1901	1903	305	782	362	804	had	OTHER
78	1905	1909	366	785	429	807	Aneve	OTHER
79	1911	1915	433	788	489	810	Sonce	OTHER
