	41	41.1	503	198	524	228	a	OTHER
0	43	52	537	196	673	230	Employee's	OTHER
1	54	59	677	196	746	231	social	OTHER
2	61	68	750	196	844	231	security	OTHER
3	70	75	848	196	932	231	number	OTHER
4	133	137	1586	193	1653	228	Safe,	OTHER
5	139	147	1659	196	1796	232	Accurate.	OTHER
6	183	187	2092	196	2147	229	Visit	OTHER
7	189	191	2153	196	2196	230	the	OTHER
8	193	195	2202	195	2255	230	IRS	OTHER
9	197	203	2260	193	2367	231	Website	OTHER
10	364	366	1833	219	1944	264	Rev	OTHER
11	368	371	1955	220	2045	264	file	OTHER
12	430	440	699	238	978	277	697-85-3013	ssnOfEmployee
13	480	482	1273	241	1325	272	OMB	OTHER
14	484	486	1331	242	1371	273	No.	OTHER
15	488	496	1376	241	1491	274	1545-0008	OTHER
16	505	509	1581	241	1676	275	FAST!	OTHER
17	511	512	1682	241	1722	278	Us	OTHER
18	556	557	2093	242	2118	275	at	OTHER
19	559	575	2124	242	2340	279	www.irs.gov/efile	OTHER
20	578	578	114	288	140	323	b	OTHER
21	580	587	146	288	248	322	Employer	OTHER
22	589	602	253	289	388	321	identification	OTHER
23	604	609	393	289	476	319	number	OTHER
24	611	615	482	289	544	317	(EIN)	OTHER
25	697	702	1447	290	1530	323	Wages,	OTHER
26	704	708	1536	294	1584	323	tips,	OTHER
27	710	714	1589	295	1643	323	other	OTHER
28	716	727	1648	287	1797	322	compensation	OTHER
29	752	758	2002	291	2085	322	Federal	OTHER
30	760	765	2090	290	2169	322	income	OTHER
31	767	769	2174	290	2209	321	tax	OTHER
32	771	778	2214	288	2295	319	withheld	OTHER
33	790	799	219	330	463	369	68-5252268	einEmployerIdentificationNumber
34	903	908	1477	329	1631	367	156647	box1WagesTipsAndOtherCompensations
35	910	910	1636	328	1655	367	.	box1WagesTipsAndOtherCompensations
36	912	913	1660	328	1705	367	19	box1WagesTipsAndOtherCompensations
37	954	958	1976	328	2103	366	20420	box2FederalIncomeTaxWithheld
38	960	960	2110	328	2128	367	.	box2FederalIncomeTaxWithheld
39	962	963	2135	328	2181	370	18	box2FederalIncomeTaxWithheld
40	967	967	118	379	141	413	c	OTHER
41	969	978	147	379	264	414	Employer's	OTHER
42	980	984	270	381	340	414	name,	OTHER
43	986	993	346	382	438	414	address,	OTHER
44	995	997	444	381	485	415	and	OTHER
45	999	1001	491	381	528	415	ZIP	OTHER
46	1003	1006	533	380	597	415	code	OTHER
47	1087	1092	1449	382	1515	413	Social	OTHER
48	1094	1101	1519	381	1602	413	security	OTHER
49	1103	1107	1607	381	1676	414	wages	OTHER
50	1138	1143	2003	381	2069	413	Social	OTHER
51	1145	1152	2074	383	2157	413	security	OTHER
52	1154	1156	2163	382	2197	412	tax	OTHER
53	1158	1165	2202	379	2299	412	withheld	OTHER
54	1178	1189	225	427	529	465	Grimes-Smith	employerName
55	1191	1195	556	427	686	466	Group	employerName
56	1293	1298	1479	425	1630	465	161580	box3SocialSecurityWages
57	1300	1300	1636	425	1655	466	.	box3SocialSecurityWages
58	1302	1303	1662	426	1708	468	72	box3SocialSecurityWages
59	1338	1342	1976	426	2102	462	12360	box4SocialSecurityTaxWithheld
60	1344	1346	2108	426	2184	465	.93	box4SocialSecurityTaxWithheld
61	1358	1361	218	484	322	522	0376	employerAddressStreet_name
62	1363	1369	345	485	531	523	Bridges	employerAddressStreet_name
63	1371	1375	551	486	687	524	Mills	employerAddressStreet_name
64	1377	1381	712	485	841	524	Suite	employerAddressStreet_name
65	1383	1385	870	484	946	524	970	employerAddressStreet_name
66	1470	1477	1447	472	1548	504	Medicare	OTHER
67	1479	1483	1554	472	1625	504	wages	OTHER
68	1485	1487	1630	472	1671	504	and	OTHER
69	1489	1492	1676	472	1710	505	tips	OTHER
70	1517	1517	1944	471	1968	504	6	OTHER
71	1519	1526	2002	472	2103	501	Medicare	OTHER
72	1528	1530	2107	472	2143	501	tax	OTHER
73	1532	1539	2147	473	2230	503	withheld	OTHER
74	1666	1671	1477	512	1628	550	131370	OTHER
75	1673	1673	1634	513	1652	551	.	OTHER
76	1675	1676	1658	513	1708	552	22	OTHER
77	1723	1726	2100	514	2198	550	3809	OTHER
78	1728	1728	2206	514	2225	547	.	OTHER
79	1730	1731	2231	512	2275	547	74	OTHER
80	1743	1757	214	545	605	585	Martinezborough	employerAddressCity
81	1759	1760	663	544	708	584	IN	employerAddressState
82	1762	1771	768	542	1023	584	73798-8008	employerAddressZip
83	1856	1861	1450	558	1514	595	Social	OTHER
84	1863	1870	1520	560	1600	595	security	OTHER
85	1872	1875	1607	560	1654	595	tips	OTHER
86	1902	1902	1945	557	1966	588	8	OTHER
87	1904	1912	2003	557	2104	590	Allocated	OTHER
88	1914	1917	2109	558	2146	592	tips	OTHER
89	2044	2050	1477	605	1656	642	161580.	OTHER
90	2052	2053	1661	604	1704	642	72	OTHER
91	2101	2106	2098	608	2249	644	131370	OTHER
92	2108	2108	2256	608	2273	645	.	OTHER
