	0	0.1	449	2300	475	2337	emp,	OTHER
0	106	109	1035	253	1156	305	2018	OTHER
1	129	131	1171	254	1275	306	W-2	OTHER
2	145	147	1287	255	1386	307	and	OTHER
3	163	170	1401	255	1690	307	EARNINGS	OTHER
4	193	199	1708	253	1995	306	SUMMARY	OTHER
5	256	258	2225	245	2311	291	ADP	OTHER
6	278	285	222	317	318	344	Employee	OTHER
7	298	306	393	313	497	346	Reference	OTHER
8	316	319	592	316	643	343	Copy	OTHER
9	359	361	964	314	1006	344	his	OTHER
10	363	366	1011	314	1070	343	blue	OTHER
11	368	375	1075	314	1195	343	Earnings	OTHER
12	377	383	1200	314	1329	342	Summary	OTHER
13	385	391	1334	314	1428	342	section	OTHER
14	393	394	1433	314	1460	342	is	OTHER
15	396	403	1465	314	1578	342	included	OTHER
16	405	408	1583	314	1639	342	with	OTHER
17	410	413	1644	314	1705	342	your	OTHER
18	415	417	1710	314	1767	342	W-2	OTHER
19	419	420	1772	314	1798	342	to	OTHER
20	422	425	1804	314	1864	343	help	OTHER
21	427	434	1876	313	1983	344	describe	OTHER
22	436	443	1989	313	2096	344	portions	OTHER
23	445	446	2102	313	2127	345	in	OTHER
24	448	451	2133	312	2205	346	more	OTHER
25	453	459	2215	312	2287	346	detail.	OTHER
26	491	494	329	351	386	376	Wage	OTHER
27	496	498	428	346	465	370	and	OTHER
28	500	502	506	344	545	372	Tax	OTHER
29	559	560	965	343	999	370	he	OTHER
30	562	568	1006	343	1107	370	reverse	OTHER
31	570	573	1114	343	1169	370	side	OTHER
32	575	582	1176	343	1289	370	includes	OTHER
33	584	590	1294	343	1395	370	general	OTHER
34	592	602	1399	343	1547	370	information	OTHER
35	604	607	1555	343	1608	370	that	OTHER
36	609	611	1612	343	1660	370	you	OTHER
37	613	615	1666	343	1726	370	may	OTHER
38	617	620	1732	343	1786	370	also	OTHER
39	622	625	1794	343	1843	370	find	OTHER
40	627	634	1848	343	1946	370	helpful.	OTHER
41	639	641	112	381	169	417	N-2	OTHER
42	666	674	324	371	403	396	Statement	OTHER
43	688	691	582	386	668	418	2018	OTHER
44	694	697	99	432	134	458	Copy	OTHER
45	699	699	137	431	149	455	C	OTHER
46	701	703	151	431	171	455	for	OTHER
47	705	714	173	431	250	455	employee's	OTHER
48	716	723	252	432	322	460	records.	OTHER
49	744	746	563	422	596	448	OMB	OTHER
50	748	750	599	422	626	448	No.	OTHER
51	752	760	630	422	708	448	1545-0008	OTHER
52	798	799	1025	425	1048	455	1.	OTHER
53	801	803	1052	425	1096	455	The	OTHER
54	805	813	1100	425	1212	455	following	OTHER
55	815	825	1216	424	1353	454	information	OTHER
56	827	834	1357	424	1448	454	reflects	OTHER
57	836	839	1452	424	1508	454	your	OTHER
