	35	35.1	503	198	524	228	a	OTHER
0	37	46	538	196	673	231	Employee's	OTHER
1	48	53	677	196	747	231	social	OTHER
2	55	62	752	196	844	231	security	OTHER
3	64	69	849	196	936	231	number	OTHER
4	129	133	1586	193	1653	228	Safe,	OTHER
5	135	143	1659	196	1795	233	Accurate.	OTHER
6	163	167	2091	194	2147	228	Visit	OTHER
7	169	171	2153	195	2197	229	the	OTHER
8	173	175	2203	195	2254	230	IRS	OTHER
9	177	183	2259	193	2366	232	Website	OTHER
10	334	336	1833	219	1946	263	Rev	OTHER
11	338	341	1954	220	2045	263	file	OTHER
12	394	404	699	238	983	276	766-63-6654	ssnOfEmployee
13	447	449	1273	241	1325	272	OMB	OTHER
14	451	453	1330	242	1372	274	No.	OTHER
15	455	463	1378	239	1491	274	1545-0008	OTHER
16	473	477	1589	242	1675	276	FAST!	OTHER
17	479	480	1681	242	1722	279	Us	OTHER
18	505	506	2092	239	2115	275	at	OTHER
19	508	524	2122	240	2339	279	www.irs.gov/efile	OTHER
20	527	527	114	288	139	322	b	OTHER
21	529	536	147	288	250	322	Employer	OTHER
22	538	551	254	289	389	321	identification	OTHER
23	553	558	394	289	475	319	number	OTHER
24	560	564	481	289	543	318	(EIN)	OTHER
25	643	648	1448	289	1532	322	Wages,	OTHER
26	650	654	1538	292	1583	322	tips,	OTHER
27	656	660	1588	292	1643	322	other	OTHER
28	662	673	1648	287	1807	322	compensation	OTHER
29	681	687	2002	290	2085	321	Federal	OTHER
30	689	694	2090	290	2169	321	income	OTHER
31	696	698	2174	289	2209	320	tax	OTHER
32	700	707	2213	288	2301	319	withheld	OTHER
33	719	728	218	331	477	368	23-8630038	einEmployerIdentificationNumber
34	829	834	1476	328	1626	365	179098	box1WagesTipsAndOtherCompensations
35	836	836	1634	328	1656	365	.	box1WagesTipsAndOtherCompensations
36	838	839	1661	327	1707	366	72	box1WagesTipsAndOtherCompensations
37	863	867	1978	328	2102	365	38999	box2FederalIncomeTaxWithheld
38	869	869	2109	329	2125	366	.	box2FederalIncomeTaxWithheld
39	871	872	2131	329	2181	368	68	box2FederalIncomeTaxWithheld
40	876	876	119	379	142	413	c	OTHER
41	878	887	148	379	266	414	Employer's	OTHER
42	889	893	271	380	340	414	name,	OTHER
43	895	902	345	381	439	414	address,	OTHER
44	904	906	444	381	486	414	and	OTHER
45	908	910	491	380	528	414	ZIP	OTHER
46	912	915	534	380	598	414	code	OTHER
47	993	998	1451	382	1516	413	Social	OTHER
48	1000	1007	1520	382	1603	413	security	OTHER
49	1009	1013	1608	381	1678	413	wages	OTHER
50	1045	1050	2004	381	2070	412	Social	OTHER
51	1052	1059	2075	382	2157	412	security	OTHER
52	1061	1063	2163	382	2196	411	tax	OTHER
53	1065	1072	2202	379	2290	410	withheld	OTHER
54	1085	1090	220	426	377	467	Thomas	employerName
55	1092	1096	399	426	530	467	Group	employerName
56	1098	1100	556	426	635	466	Ltd	employerName
57	1195	1200	1475	426	1628	463	214469	box3SocialSecurityWages
58	1202	1202	1635	426	1652	464	.	box3SocialSecurityWages
59	1204	1205	1658	425	1708	465	15	box3SocialSecurityWages
60	1243	1250	1977	426	2176	465	16406.89	box4SocialSecurityTaxWithheld
61	1261	1263	217	485	296	522	199	employerAddressStreet_name
62	1265	1273	318	485	554	523	Katherine	employerAddressStreet_name
63	1275	1279	583	485	712	523	Grove	employerAddressStreet_name
64	1281	1285	740	484	867	524	Suite	employerAddressStreet_name
65	1287	1289	896	482	973	525	627	employerAddressStreet_name
66	1372	1379	1452	471	1549	503	Medicare	OTHER
67	1381	1385	1553	473	1626	504	wages	OTHER
68	1387	1389	1631	473	1671	504	and	OTHER
69	1391	1394	1676	473	1710	504	tips	OTHER
