	39	39.1	502	937	529	970	a	OTHER
0	41	50	537	938	673	973	Employee's	OTHER
1	52	57	677	941	747	973	social	OTHER
2	59	66	751	939	845	973	security	OTHER
3	68	73	850	937	941	973	number	OTHER
4	127	131	1582	940	1655	972	Safe,	OTHER
5	133	141	1661	940	1804	976	Accurate.	OTHER
6	154	158	2092	934	2147	971	Visit	OTHER
7	160	162	2153	937	2197	973	the	OTHER
8	164	166	2202	938	2253	974	IRS	OTHER
9	168	174	2258	937	2370	974	Website	OTHER
10	231	241	704	978	979	1018	112-52-5042	ssnOfEmployee
11	319	320	1833	961	1894	1006	Re	OTHER
12	322	322	1910	961	1942	1006	~	OTHER
13	324	327	1956	959	2045	1005	file	OTHER
14	430	432	1272	980	1324	1016	OMB	OTHER
15	434	436	1330	980	1369	1016	No.	OTHER
16	438	446	1376	979	1491	1016	1545-0008	OTHER
17	456	460	1581	982	1677	1018	FAST!	OTHER
18	462	463	1682	983	1725	1023	US	OTHER
19	482	483	2092	985	2117	1019	at	OTHER
20	485	502	2123	984	2351	1022	www.irs.gov/efile.	OTHER
21	504	504	114	1031	137	1066	b	OTHER
22	506	513	147	1032	247	1066	Employer	OTHER
23	515	528	253	1034	386	1065	identification	OTHER
24	530	535	392	1033	476	1065	number	OTHER
25	537	541	482	1031	552	1064	(EIN)	OTHER
26	620	625	1448	1037	1532	1064	Wages,	OTHER
27	627	631	1537	1037	1584	1065	tips,	OTHER
28	633	637	1588	1037	1645	1065	other	OTHER
29	639	650	1650	1034	1804	1064	compensation	OTHER
30	674	680	2003	1038	2086	1065	Federal	OTHER
31	682	687	2090	1036	2171	1064	income	OTHER
32	689	691	2175	1034	2209	1063	tax	OTHER
33	693	700	2214	1032	2302	1062	withheld	OTHER
34	711	720	219	1073	478	1106	14-2133094	einEmployerIdentificationNumber
35	821	825	1480	1073	1599	1105	71309	box1WagesTipsAndOtherCompensations
36	827	829	1610	1071	1666	1105	.25	box1WagesTipsAndOtherCompensations
37	870	874	1975	1071	2101	1105	19949	box2FederalIncomeTaxWithheld
